Id;Title;Url;Graduation;Salary;Description
1;Training as an IT specialist for digital networking (m/f/d) at nobilia-Werke J. Stickling GmbH & Co. KG in Verl;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-nobilia-werke-j-stickling-gmbh-co-kg-in-verl-ba64b5dd-332a-4344-92ef-868451c61f42/;High school diploma;;Training IT specialist (m/f/d) Digital networkingWe are pleased that you are interested in training in our company. During your training you will be specifically prepared for your future working life. Our priority is to take on jobs after training. In addition to the professional and school training framework program, we try to continually develop our trainees and promote team spirit. A team development trip at the beginning of the training, various project work and gaining practical experience in our highly automated and modern production round off our training offering. With the various advantages of a family business, we try to integrate you into your everyday working life as quickly as possible in a motivating way and to win you over as a convinced nobilian in the long term. You will start your 3-year training as an IT specialist (m/f/d) in digital networking on August 1st, 2024. With this training you will lay the best foundation for your future professional life as an IT all-rounder. The basic requirement for this training is a good degree from a higher commercial school, a business or general high school or a secondary school. Very good understanding of numbers, practical skills, good English - coupled with an affinity for IT - round off your profile. With this training you will get to know information technology in all areas of our company. One of your diverse areas of responsibility is networking and optimization of systems and applications, working on the interfaces of such systems. The exchange of network components and physical systems of any kind. You will learn how to prevent system failures or how to fix them if necessary, or how to protect data from unauthorized access. We will train you to become an IT all-rounder who can advise our employees on all IT issues with training and lots of support. In order to offer you realistic and efficient preparation for professional life, we also apply the “learning by doing” principle, in which you are integrated into our processes right from the start. The theoretical part of your training takes place in a part-time model at Carl-Severing -Vocational college in Bielefeld. So you can enjoy an instructive, exciting and, above all, varied time at nobilia. Interested? Then we look forward to sending you your detailed application, including the last three school reports, directly via our online form: www.nobilia.de Here you can find (actually ) something cool to see! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.
2;Training as an IT specialist for digital networking (f/m/d) (starting in 2024) at Bechtle AG in Bielefeld;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-fuer-digitale-vernetzung-w-m-d-start-2024-bei-bechtle-ag-in-bielefeld-6fffddcb-2c14-40f7-9d59-b7348e603222/;Middle maturity;;This is what awaits you at the Bechtle IT system house Bielefeld: Located in the central economic region of East Westphalia-Lippe, we offer our team of around 200 colleagues, business partners and potential customers solutions for all challenges relating to information technology. We work as a team in flat hierarchies and turn ideas into reality. We are also sure that success is greater when you have fun at work. Experience teamwork, networking and fun working with us. You're making a difference here: Your training starts on August 1st, 2024. The focus of your training? You create IT structures and ensure that important interfaces in the company are networked. Unauthorized access? Because of your work, this should no longer be an issue because you take care of securing data. Do you think there is always something to improve? Perfect, because with us you take care of the constant optimization of our networks and applications. You complete the school part of your training in block lessons at the vocational school in BIB in Paderborn. This is how you score points: You have completed a technical college entrance qualification, a good secondary school leaving certificate or are about to graduate. Have you already gained initial experience with hardware and software, either privately or through an internship? A big plus point. Would you like to be an important contact when it comes to helping people with IT problems? Then your path with us is paved for you. Do you have an open nature and work independently? This is exactly the mix we are looking for. Do you enjoy IT and digital innovations? Perfect. We offer more for you: Your remuneration? Above average and attractive! Depending on the year of training, up to 1,350 euros per month. Networking: Use our introductory event, the trainee camp or many other events to exchange ideas with other trainees. We offer you prospects: Your chances of being taken on are very good after successful completion. Your development is important to us: Through our Bechtle Learning Campus, we offer you a comprehensive range of professional and personal development. Your workplace: Modern technical equipment including your own laptop.
3;Training as an IT specialist (m/f/d) for digital networking (2024) at the ifm group of companies in Siegen;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-m-w-d-fuer-digitale-vernetzung-2024-bei-ifm-unternehmensgruppe-in-siegen-169b2b7d-a494-4d12-9ddb-0461d299bc5e/;Middle maturity;;Training as an IT specialist (m/f/d) for digital networking (2024) What you bring with you: A secondary school leaving certificate or general university/technical college entrance qualification A good technical understanding and IT affinity Interest in different operating systems, cloud technologies and complex software development processes A personality , which is characterized by the ability to work in a team, reliability, humor and curiosity A confident ability to express yourself verbally and in writing in both German and English This is what you will learn with us: As an IT specialist for digital networking, you will work as an interface between IT and production. We will give you the support you need to complete your training successfully and with fun and, together with a unique team, to contribute to ifm's success story. With us you will learn how modern production systems are controlled by computer, how errors are noticed and corrected. You will be involved in the analysis of complex systems and learn how processes are automated. You will help us to integrate machines, units and sensors using modern techniques Integrating IT Your participation in the design, installation and maintenance of software solutions is important to us. As you move through our areas of technology, IT, development and digital transformation, you will continually develop yourself through varied tasks. This is what we also offer you: Professional development at ifm What this means for you: Accompanied and supported by our trainers, you take responsibility for your own projects at an early stage. You are integrated into our company processes and thus grow naturally into new tasks and requirements. You work in an appealing and interesting working environment in which you can quickly work productively and where your own ideas are welcome. An adequate training salary, 30 days of vacation plus additional time off between Christmas and New Year, a canteen and a fitness studio directly on site as well as further training opportunities beyond vocational school lessons
4;Training as an IT specialist for digital networking (m/f/d) at Pan Dacom Direkt GmbH in Dreieich;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-pan-dacom-direkt-gmbh-in-dreieich-2f56badf-5827-4f14-bc52-4ae3bd7eaacf/;High school diploma;;What does an IT specialist for digital networking do? An IT specialist for digital networking is responsible for the networking and optimization of systems, as well as for applications at the IT level. In IT sectors and almost all commercial companies IT specialists work. About us: As an internationally operating IT system house and technologically leading manufacturer with its own hardware and software development in Germany, the Pan Dacom Group has many years of IT know-how to plan and implement complex networks. Excellent service, technological innovations, long-term partnerships with our customers and employees are of strategic importance for our company. Start your training in our digital company in summer 2024 and apply now. Your advantages: In addition to the salary, a performance-related trainee bonus, so that you too You can get started financially Right from the start, you will have a permanent trainee mentor at your side so that you can quickly get used to Pan Dacom. We work with digital and efficient training processes so that we can save time and concentrate on the most important thing with you: your development Trained and friendly training officers supervise you in all departments. You work with modern workplace equipment and efficient tools. We conduct regular feedback discussions so that you can develop your full potential. Right from the start of your training you will be given a variety of trainee team projects (e.g. on social media, sustainability). Challenge and support you Secure job in a growing IT industry High possibility of being taken on after successful training Very good earning, promotion and further training opportunities You can get more information under the heading: Training (pandacom.de) How does the training work? 3-day introductory phase at the beginning of the training Training period 3 years, with good performance a shortening is possible Vocational school lessons in the 1st year of training at the August-Bebel vocational school in Offenbach, then at the commercial schools of the Lahn-Dill district Training in all important company areas, e.g. business applications, IT support, project management, IMS, development, as well as service technology such as LAN/WLAN, security, etc. Accompanying training, exciting projects, Cisco CCNA certification and active support in exam preparation What should you bring with you? Successfully acquired (technical) university entrance qualification Good grades in English and the natural sciences, participation in computer science is desirable Good PC knowledge and technical understanding Independence, initiative and enjoyment of teamwork
5;Training as an IT specialist for digital networking (m/f/d) at Vulkan Hülsen- und Gearbau Bernhard Hackforth GmbH & Co. KG in Herne;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-vulkan-kupplungs-und-getriebebau-bernhard-hackforth-gmbh-co-kg-in-herne-0a51df82-101d-476f-a64b-1e7e70ac032b/;Middle maturity;;As an IT specialist in the field of digital networking, you will work on the digital connection of machines, systems, products, logistics and people so that they can communicate with each other and work together optimally. During your 3-year training, you will take on responsibility right from the start. You will get to know all facets of digital networking, in particular: the digital connection of machines, systems, products, logistics and people setting up, changing and testing networked systems operating networked systems and ensuring system availability in-depth insights into the operational processes of the specialist departments (e.g . B. Sales, purchasing, logistics) collaboration on various in-house projects We offer you... qualified and future-oriented training in information technology... in-depth IT knowledge with a focus on networking and automation... configuration and Optimization of digital processes and interesting products... a commitment as a full-fledged team member... modern workplaces, manageable teams and an excellent working atmosphere... well-founded insights into operational processes... Collaboration on various in-house projects Your ticket to the You can secure your training if you... have the general university entrance qualification, technical college entrance qualification, a good secondary school diploma or ITA with good grades in computer science, mathematics, German and English... a good basic technical understanding, general affinity and interest in IT -Topics you have... strong initiative, logical thinking and analytical skills... have had initial experience with MS Office... are capable of learning, motivated and flexible... are responsible, communicative and a team player Earn during the training by arrangement here there is (actually) something cool to see! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.
6;Training as an IT specialist for digital networking (m/f/d) at Wirtgen GmbH in Windhagen;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-wirtgen-gmbh-in-windhagen-4cf20857-1988-4751-95b8-ecf8c1f6698f/;High school diploma;;IT specialist (m/f/d) - Digital networkingYour area of ​​responsibilityThe work areas of IT specialists are very diverse: They start with the analysis of business processes and extend to the conception, development, optimization, maintenance and administration of IT solutions in our integrated SAP system landscape to tasks in the areas of documentation, training and quality assurance. Training courseDuring your three-year training consisting of a combination of vocational school (David-Röntgen-Schule and Ludwig-Erhard-Schule in Neuwied) and in-company training in Windhagen, you will be prepared by your trainers for your future professional life. Based on an internal training plan, you will go through all areas within our information management department as well as in the relevant departments. You will be provided with comprehensive knowledge in all areas so that you can independently develop into an expert in the following subject areas, among others: Improving company processes through the integration and connection of IT systems with production and logistics systems Identifying, setting up and operating hardware and software , which enable further automation of production and logistics Conception and development of software for the operation of IT interfaces Carrying out functional and integration tests and creating documentation User support in an international environment And after the training? If you perform well, we will offer you according to our Possibilities of course include a takeover. Who we are looking forward to: Young people who are reliable, can work purposefully and committedly in a team, are flexible and inquisitive, open and honest and have a high level of motivation. Earnings during training according to collective agreement
7;Training as an IT specialist for digital networking (m/f/d) at Iniationware GmbH in Lohne (Oldenburg);https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-iniationware-gmbh-in-lohne-oldenburg-bbdf696c-ec00-43a2-ba62-ff70b9987231/;Not specified;;100% training with work-life balance concept (only possible with regional residence)We offer you a young and very modern team with good skills in the area of ​​Internet of Things and digital twin for Industry 4.0. 100% training and learning with work-life balance as a didactic concept. Being prepared for the future in an exciting way is our goal for you! To apply, you must live in a local area. We do not offer remote training. Earnings during training upon agreement
8;Training - IT specialist in digital networking (f/m/d) at Schwarz Production in Weißenfels;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-digitale-vernetzung-w-m-d-bei-schwarz-produktion-in-weissenfels-12999c63-1eea-40c7-97ac-aca517fcf60b/;Middle maturity;;In order for everything to run smoothly, someone has to keep an eye on the big picture. Because this whole thing is quite big for us, we are looking for forward-looking organizational talents who love to get started and build something new. In short: you. As a trainee, you will learn how to ensure that our factories can operate successfully. Our offer: a decent salary, the best opportunities for advancement and a really good work-life balance. Deal? WHAT YOU WILL LEARN You will get to know the IT tasks with a focus on the IT infrastructure in a modern production company, their processes and to-dos for setting up, networking, documenting and operating IT components. You not only communicate internally within IT, but also with other departments and partners. You will provide support in the areas of industrial servers and hosting and thus get to know the IT infrastructure in its entirety. At the vocational school in Leipzig you will learn all the theoretical content that is important for practical implementation, such as integrating software and hardware products into the existing IT landscape or planning, installing, configuring and maintaining complex IT systems THAT DELIVERS YOU have a secondary school diploma or higher with good performance in mathematics and German, a basic understanding of IT and an interest in IT with a focus on IT infrastructure, basic knowledge of scripting and programming languages, you are familiar with office applications and can use them, willingness to learn and strong communication skills - reliability and A sense of responsibility THAT'S WHAT WE DELIVER: varied training with prospects in a company with a first-name culture, comprehensive support from those responsible for training and the department, attractive above-average remuneration (1st year €1,000/2nd year €1,100/3rd year €1,250 per month) vacation , Christmas bonus, retirement provision and awards for good school grades and much more. Coverage of travel costs to vocational school as well as costs for school materials, extensive health offers, including resilience, sporting events, online course offerings 29 days of vacation in accordance with the collective agreement OUR OFFER Contract type: training until July 31, 2027 To be filled from: August 1, 2024 Working hours: 40 hours per week WHAT ARE YOU WAITING FOR ?Simply apply directly under “Start application” or on jobs.schwarz-produktion.com.
9;Training as an IT specialist for digital networking (m/f/d) at Liftstar GmbH in Cologne;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-liftstar-gmbh-in-koeln-05d6a218-ccc0-41d7-afdc-ef855322813a/;Not specified;"-1. Year => €1065; 2nd year => €1118; 3rd year => €1197;";"This is the LiftstarBeing a Liftstar is more than just a job! We are one of the most successful sales organizations in Germany and market leader in the stair lift sector. As an absolute innovator and driver of the industry, we continue to boldly move forward and set new standards. We know that selling stair lifts is a team sport - that's why we are one of the best on the market. As a young talent, start your training as an IT specialist with us and we will turn you into a professional! This is what awaits you during your training: ChatGPT, RPA, IoT or cloud computing - we keep an eye on new technologies and trends from the digital environment and always want to keep our IT landscape modern. As a digital native, you are an important source of inspiration. OneKit, apps, cybersecurity and server landscapes - In addition to everyday business, you will get deep insights into the programming of our own app and deal with our IT infrastructure and cybersecurity at Liftstar. ""Have you tried turning the PC off and on again?"" - A sentence that is not only known from memes. With 900 employees, small and large IT problems are part of everyday life. You help our lift stars with their technical problems and find a solution. Perspective - Through individual development, we turn you into an IT professional. We are fully behind you and will support you throughout your training, regardless of whether you are facing professional, private or academic challenges. With us you have a strong sparring partner! This is what we expect from you: Nerds and non-nerds are equally welcome. First and foremost, you have to have a passion for IT and always do your best - we will make you successful. You can express yourself very well in German, both spoken and written, enjoy brainstorming with your colleagues, are proactive in finding solutions and contribute your ideas independently. You are an absolute team player, are curious and willing to go the extra mile. Why Liftstar? A small and friendly team of nerds and experts from the IT environment. Whether via Diablo IV, ChatGPT or your favorite pizza, you will always find a suitable conversation partner at the coffee machine. An attractive salary of €1,065 in the first year. Plus modern work equipment such as a laptop and an iPhone. Very good chance of being taken on and the prospect of developing yourself as a specialist in various IT areas within the company. In a modern environment at the market leader, you can fully exploit your potential and learn from the best to lay the foundation for your career. We not only support you, but also the environment and our fellow human beings. As a company, we face our social responsibility and sustainable development. Regular trainee events, 30 days of vacation, an Urban Sports Club membership, discounts at over 1,000 online shops and cool colleagues ensure that you feel comfortable around the clock. Earnings during training 1st year1065 €2. Year1118 €3. Year1197 €"
10;Training as an IT specialist* - digital networking (starting in 2024) at ERBACHER the food family in Kleinheubach;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-digitale-vernetzung-start-2024-bei-erbacher-the-food-family-in-kleinheubach-2e97e583-1607-4044-9050-e3d5b22216f9/;Middle maturity;"-1. year => €985; 2nd year => €1105; 3rd year => €1225;";Training as an IT specialist* - Digital networking (start 2024)ERBACHER the food family is a pioneer and pioneer of sustainable nutrition. As a family business, we have been a manufacturer of farm and pet food and high-quality foods for 80 years. Our aim is to create innovative nutrition for people and animals in a good global community. We are working on this with over 800 colleagues in Germany and international branches. With our family spirit, we promote a motivating work environment. For us, working independently is just as important as promoting the professional and personal skills of all team members. Has your dream job always revolved around computers? Have you always wanted to work in a future-oriented profession? Do you have a good technical understanding and interest in the digital networking of systems? Are you looking for a varied area of ​​responsibility? Then you are exactly right with us! Apply now for your training and become a team member at ERBACHER the food family on September 1, 2024! This is what awaits you A 3-year training course with an IHK degree A future-oriented training in information technology Exciting tasks, such as... ...the networking of IT systems and applications ...the backup of data ...the automation of processes and products Your profileYou... .. ...you have a secondary school leaving certificate or a general/subject-specific university entrance qualification ...you score with good grades in the subjects mathematics, computer science, German and English ...you have very good computer skills ...you have a good technical understanding ...you are a team player and always ready to learn something new We offer you family spirit, a great team and our you culture at all hierarchical levels Many opportunities for your personal and professional development Sports, mobility and health offers Flexible working hours - Additional vacation days - Christmas bonus, vacation bonus Company pension plan & accident insurance Diverse further training opportunities Free muesli, fruit & vegetables and subsidized lunch *The only important thing is that we fit together. Origin and gender do not play a role. If you are interested in varied training and would like to work for a future-oriented, expanding company, then please send us your complete application documents. You are welcome to contact us personally if you have any questions. We look forward to it looking forward to your application! Earnings during training 1st year985 €2. Year1105 €3. Year1225 €
