Id;Title;Url;Graduation;Salary;Description
1;Ausbildung Fachinformatiker/in für digitale Vernetzung (m/w/d) bei nobilia-Werke J. Stickling GmbH & Co. KG in Verl;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-nobilia-werke-j-stickling-gmbh-co-kg-in-verl-ba64b5dd-332a-4344-92ef-868451c61f42/;Fachabitur;-;Ausbildung Fachinformatiker (m/w/d) Digitale VernetzungWir freuen uns, dass Sie sich für eine Ausbildung in unserem Hause interessieren. Während Ihrer Ausbildung werden Sie gezielt auf das spätere Arbeitsleben vorbereitet. Die Übernahme nach der Ausbildung steht bei uns im Vordergrund. Neben dem beruflichen sowie schulischen Ausbildungsrahmenprogramm versuchen wir unsere Auszubildenden stetig weiterzuentwickeln und den Teamgedanken zu fördern. Eine Teamentwicklungsfahrt zu Beginn der Ausbildung, verschiedene Projektarbeiten und das praktische Sammeln von Erfahrungen in unserer hochautomatisierten sowie modernen Fertigung runden unser Ausbildungsangebot ab. Mit unterschiedlichsten Vorzügen eines Familienunternehmens versuchen wir Sie schnellstmöglich motivierend in den Berufsalltag zu integrieren und langfristig als überzeugte nobilianer zu gewinnen.Sie starten Ihre 3-jährige Ausbildung zum Fachinformatiker (m/w/d) Digitale Vernetzung am 01.08.2024. Mit dieser Ausbildung legen Sie den besten Grundstein für Ihr künftiges Berufsleben als IT-Allrounder. Grundvoraussetzung für diese Ausbildung ist der gute Abschluss einer Höheren Handelsschule, eines Wirtschafts- oder allgemeinen Gymnasiums oder der Realschule. Sehr gutes Zahlenverständnis, praktisches Geschick, gutes Englisch - gepaart mit einer Affinität zur IT - runden Ihr Profil ab.Mit dieser Ausbildung lernen Sie die Informationstechnik in allen Bereichen unseres Unternehmens kennen. Einer Ihrer vielseitigen Aufgabengebiete ist Vernetzung und Optimierung von Systemen und Anwendungen, die Arbeit an den Schnittstellen solcher Systeme. Der Austausch über Netzwerkkomponenten und den physischen Systeme jedweder Art. Sie lernen Systemausfälle zu verhindern oder diese auch bei Bedarf zu beheben oder aber auch der Schutz der Daten vor unerlaubten Zugriff gehört zu den aufgben. Wir bilden Sie zu einem IT-Allrounder aus, der unsere Mitarbeiter mit Schulungen und viel Unterstützung in sämtlichen EDV-Fragen beraten kann. Um Ihnen eine realistische und effiziente Vorbereitung auf das Berufsleben zu bieten, gilt bei uns auch hier das Prinzip „learning by doing“, bei dem Sie von Anfang an in unsere Abläufe integriert werden.Der theoretische Teil Ihrer Ausbildung erfolgt im Teilzeitmodell am Carl-Severing-Berufskolleg in Bielefeld. Somit genießen Sie eine lehrreiche, spannende und insbesondere abwechslungsreiche Zeit im Hause nobilia.Interessiert?Dann freuen wir uns auf die Zusendung Ihrer aussagekräftigen Bewerbung inklusive der letzten drei Schulzeugnisse gern direkt über unser Online-Formular:www.nobilia.de Hier gibt es (eigentlich) was Cooles zu sehen! Das hier ist ein Platzhalter für Video-Content von YouTube. Neugierig? Dann schalte die Inhalte jetzt frei. Ja, ich erlaube die externen Inhalte von YouTube. Ich bin damit einverstanden, dass mir die externen Inhalte angezeigt werden. Personenbezogene Daten können an Drittplattformen übermittelt werden. Mehr Infos gibt es in der Datenschutzerklärung.
2;Ausbildung zum Fachinformatiker für digitale Vernetzung (w/m/d) (Start 2024) bei Bechtle AG in Bielefeld;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-fuer-digitale-vernetzung-w-m-d-start-2024-bei-bechtle-ag-in-bielefeld-6fffddcb-2c14-40f7-9d59-b7348e603222/;Mittlere Reife;-;Das erwartet Dich im Bechtle IT-Systemhaus Bielefeld: In der zentralen Wirtschaftsregion Ostwestfalen-Lippe gelegen, bieten wir unserem Team von rund 200 Kolleginnen und Kollegen, Geschäftspartnern und potenziellen Kunden Lösungen für jegliche Herausforderung rund um die Informationstechnologie. Wir arbeiten als Team in flachen Hierarchien und lassen aus Ideen Realität werden. Zudem sind wir sicher, dass Erfolge größer sind, wenn man Spaß an der Arbeit hat. Erlebe Teamwork, Networking und Spaß an der Arbeit bei uns. Hier bewegst du etwas: Deine Ausbildung startet am 01. August 2024 Mittelpunkt deiner Ausbildung? Du legst IT-Strukturen an und sorgst dafür, dass wichtige Schnittstellen im Unternehmen vernetzt werden. Unerlaubte Zugriffe? Durch deine Arbeit sollte das kein Thema mehr sein, denn du kümmerst dich um die Sicherstellung von Daten. Du findest, es gibt immer etwas zu verbessern? Perfekt, denn bei uns kümmerst du dich um die stetige Optimierung unserer Netzwerke und Anwendungen. Den schulischen Teil deiner Ausbildung absolvierst du im Blockunterricht an der Berufsschule in BIB in Paderborn. Damit punktest du: Du hast eine abgeschlossene Fachhochschulreife, eine gute mittlere Reife oder stehst kurz vor deinem Abschluss. Du hast bereits erste Erfahrungen mit Hard- und Software gesammelt, sei es privat oder durch ein Praktikum? Ein großer Pluspunkt. Du möchtest ein wichtiger Ansprechpartner sein, wenn es darum geht, Menschen bei IT-Problem zu helfen? Dann ist dein Weg bei uns für dich geebnet. Du hast eine offene Art und arbeitest selbstständig? Genau diesen Mix suchen wir. Du hast Spaß an IT und digitalen Innovationen? Perfekt. Wir bieten mehr für dich: Deine Vergütung? Überdurchschnittlich und attraktiv! Je nach Ausbildungsjahr bis zu 1.350 Euro im Monat. Networking: Nutze unsere Einführungsveranstaltung, das Azubi Camp oder viele weitere Events, um dich mit anderen Azubis auszutauschen. Wir bieten dir Perspektiven: Deine Übernahmechancen stehen nach erfolgreichem Abschluss sehr gut. Deine Entwicklung ist uns wichtig: Durch unseren Bechtle Learning Campus bieten wir dir ein umfangreiches Angebot in fachlicher und persönlicher Weiterentwicklung. Dein Workplace: Moderne technische Ausstattung inklusive eigenem Laptop.
3;Ausbildung zum Fachinformatiker (m/w/d) für Digitale Vernetzung (2024) bei ifm-Unternehmensgruppe in Siegen;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-m-w-d-fuer-digitale-vernetzung-2024-bei-ifm-unternehmensgruppe-in-siegen-169b2b7d-a494-4d12-9ddb-0461d299bc5e/;Mittlere Reife;-;Ausbildung zum Fachinformatiker (m/w/d) für Digitale Vernetzung (2024) Das bringst Du mit: Eine mittlere Reife oder allgemeine Hochschul-/Fachhochschulreife Ein gutes technisches Verständnis und IT Affinität Interesse an verschiedenen Betriebssystemen, Cloudtechnologien und komplexen Softwareentwicklungs-prozessen Eine Persönlichkeit, welche sich durch Teamfähigkeit, Zuverlässigkeit, Humor und Neugier kennzeichnet Ein sicheres Ausdrucksvermögen in Wort und Schrift sowohl in deutscher als auch englischer Sprache Das lernst Du bei uns: Als Fachinformatiker für digitale Vernetzung arbeitest Du als Schnittstelle zwischen IT und Produktion. Dabei bekommst Du von uns die nötige Unterstützung, um Deine Ausbildung erfolgreich und mit Spaß durchzuziehen und zusammen mit einem einzigartigen Team zur Erfolgsgeschichte von ifm beizutragen. Bei uns lernst Du, wie moderne Anlagen in der Produktion per Computer gesteuert, wie Fehler bemerkt und behoben werden Du wirkst bei der Analyse komplexer Systeme mit und erlernst, wie Prozesse automatisiert werden Du hilfst uns, Maschinen, Aggregate und Sensoren mit modernen Techniken in die IT zu integrieren Deine Beteiligung am Design, der Installation und der Instandhaltung von Softwarelösungen ist uns wichtig Durch den Durchlauf unserer Bereiche Technik, IT, Entwicklung und Digital Transformation wirst Du Dich durch abwechslungsreiche Aufgaben laufend weiterentwickeln Das bieten wir Dir darüber hinaus: Berufliche Entwicklung bei ifm bedeutet für Dich: begleitet und unterstützt von unseren Ausbildenden übernimmst Du bereits frühzeitig Verantwortung für eigene Projekte Du bist in unsere Unternehmensprozesse integriert und wächst so ganz selbstverständlich in neue Aufgaben und Anforderungen hinein Du arbeitest in einem ansprechenden und interessanten Arbeitsumfeld, indem Du schnell produktiv mitarbeiten darfst und wo eigene Ideen willkommen sind Ein adäquates Ausbildungsentgelt, 30 Tage Urlaub plus zusätzlich frei zwischen Weihnachten und Neujahr, eine Kantine und ein Fitnessstudio direkt im Standort sowie Weiterbildungsmöglichkeiten über den Berufsschulunterricht hinaus
4;Ausbildung Fachinformatiker/in für digitale Vernetzung (m/w/d) bei Pan Dacom Direkt GmbH in Dreieich;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-pan-dacom-direkt-gmbh-in-dreieich-2f56badf-5827-4f14-bc52-4ae3bd7eaacf/;Fachabitur;-;Was macht ein/e Fachinformatiker/in für Digitale Vernetzung?Ein/e Fachinformatiker/in für digitale Vernetzung ist zuständig für die Vernetzung und Optimierung von Systemen, sowie auch für Anwendungen auf IT-Ebene.In IT-Branchen und nahezu allen wirtschaftlichen Unternehmen sind Fachinformatiker/innen tätig. Über uns:Als international agierendes IT-Systemhaus und technologisch führender Hersteller mit eigener Hard- und Softwareentwicklung in Deutschland verfügt die Pan Dacom Gruppe über ein langjähriges IT-Know-how, um komplexe Netzwerke zu planen und zu realisieren. Hervorragender Service, technologische Innovationen, langfristige Partnerschaft mit unseren Kunden und Mitarbeitern sind für unser Unternehmen von strategischer Bedeutung.Starte im Sommer 2024 in unserem digitalen Unternehmen deine Ausbildung und bewirb dich jetzt.Deine Vorteile: Zusätzlich zum Gehalt einen leistungsabhängigen Azubi Bonus, damit du auch finanziell durchstarten kannst Von Beginn an steht dir ein fester Azubi-Pate zur Seite, damit du dich schnell bei der Pan Dacom einfindest Wir arbeiten mit digitalen und effizienten Ausbildungsprozessen, damit wir Zeit sparen und uns mit dir auf das Wichtigste konzentrieren können: Deine Entwicklung Dich betreuen geschulte und nette Ausbildungsbeauftragte in allen Abteilungen Du arbeitest mit einer moderne Arbeitsplatzausstattung und effizienten Tools Wir führen regelmäßige Feedbackgespräche, damit du dein volles Potenzial entfalten kannst Schon zum Ausbildungsstart bekommst du abwechslungsreiche Azubi-Team-Projekte (z.B. zu Social Media, Nachhaltigkeit), welche dich fordern und fördern Sicherer Arbeitsplatz in einer wachsenden IT-Branche Hohe Übernahmemöglichkeit nach erfolgreicher Ausbildung Sehr gute Verdienst-, Aufstiegs- und Weiterbildungsmöglichkeiten Nähere Eindrücke bekommst du unter der Rubrik: Ausbildung (pandacom.de) Wie läuft die Ausbildung ab? 3-tägige Einführungsphase zu Beginn der Ausbildung Ausbildungszeit 3 Jahre, bei guten Leistungen ist eine Verkürzung möglich Berufsschulunterricht im 1. Lehrjahr an der August-Bebel Berufsschule in Offenbach, danach an der Gewerblichen Schulen des Lahn-Dill-Kreises Ausbildung in allen wichtigen Unternehmensbereichen, z.B. Business Applications, IT-Support, Projektmanagement, IMS, Entwicklung, sowie Service-Technik wie LAN/WLAN, Security, u.a. Begleitende Schulungen, spannende Projekte, Zertifizierung zum Cisco CCNA und aktive Unterstützung bei der Prüfungsvorbereitung Was solltest du mitbringen? Erfolgreich erworbene (Fach-)Hochschulreife Gute Noten in Englisch und den naturwissenschaftlichen Fächern, Teilnahme am Fach Informatik wünschenswert Gute PC-Kenntnisse und technisches Verständnis Selbstständigkeit, Eigeninitiative und Spaß an Teamarbeit
5;Ausbildung Fachinformatiker/in für digitale Vernetzung (m/w/d) bei Vulkan Kupplungs- und Getriebebau Bernhard Hackforth GmbH & Co. KG in Herne;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-vulkan-kupplungs-und-getriebebau-bernhard-hackforth-gmbh-co-kg-in-herne-0a51df82-101d-476f-a64b-1e7e70ac032b/;Mittlere Reife;-;Als Fachinformatiker:in der Fachrichtung Digitale Vernetzung arbeitest du an der digitalen Verbindung von Maschinen, Anlagen, Produkten, Logistik und Menschen mit, damit diese miteinander kommunizieren und optimal zusammenarbeiten können. In deiner 3-jährigen Ausbildung übernimmst du von Anfang an Verantwortung. Du lernst alle Facetten der digitalen Vernetzung kennen, insbesondere: die digitale Verbindung von Maschinen, Anlagen, Produkten, Logistik und Menschen Errichten, Ändern und Prüfen von vernetzten Systemen Betreiben von vernetzten Systemen und Sicherstellen der Systemverfügbarkeit fundierte Einblicke in die betrieblichen Abläufe der Fachabteilungen (z. B. Vertrieb, Einkauf, Logistik) die Mitarbeit an verschiedenen hausinternen Projekten Wir bieten dir...... eine qualifizierte und zukunftsorientierte Ausbildung in der Informationstechnik... fundierte IT-Kenntnisse mit dem Schwerpunkt Vernetzung und Automatisierung... Konfiguration und Optimierung von digitalen Prozessen und interessanten Produkten... einen Einsatz als vollwertiges Teammitglied... moderne Arbeitsplätze, überschaubare Teams und ein ausgezeichnetes Betriebsklima... fundierte Einblicke in die betrieblichen Abläufe... Mitarbeit an verschiedenen hausinternen Projekten Dein Ticket für den Weg zur Ausbildung sicherst du dir, wenn du...... die Allgemeine Hochschulreife, Fachhochschulreife, einen guten Realschulabschluss oder ITA mit guten Zensuren in Informatik, Mathematik, Deutsch und Englisch hast... ein gutes technisches Grundverständnis, generelle Affinität und Interesse für IT-Themen hast... starke Eigeninitiative, logisches Denken und analytische Fähigkeiten mitbringst... erste Erfahrungen mit MS Office gemacht hast... lernfähig, motiviert und flexibel bist... verantwortungsbewusst, kommunikativ und teamfähig bist Verdienst während der Ausbildung nach Absprache Hier gibt es (eigentlich) was Cooles zu sehen! Das hier ist ein Platzhalter für Video-Content von YouTube. Neugierig? Dann schalte die Inhalte jetzt frei. Ja, ich erlaube die externen Inhalte von YouTube. Ich bin damit einverstanden, dass mir die externen Inhalte angezeigt werden. Personenbezogene Daten können an Drittplattformen übermittelt werden. Mehr Infos gibt es in der Datenschutzerklärung.
6;Ausbildung Fachinformatiker/in für Digitale Vernetzung (m/w/d) bei Wirtgen GmbH in Windhagen;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-wirtgen-gmbh-in-windhagen-4cf20857-1988-4751-95b8-ecf8c1f6698f/;Fachabitur;-;Fachinformatiker (m/w/d) - Digitale VernetzungDein AufgabengebietDie Arbeitsbereiche von Fachinformatikern sind sehr vielseitig: Sie beginnen bei der Analyse von Geschäftsprozessen und reichen über die Konzeption, Entwicklung, Optimierung, Wartung und Administration von IT-Lösungen in unserer integrierten SAP-Systemlandschaft bis hin zu Aufgaben im Bereich der Dokumentation, der Schulung und der Qualitätssicherung. AusbildungsverlaufWährend Deiner dreijährigen Ausbildung aus einem Zusammenspiel von Berufsschule (David-Röntgen-Schule und Ludwig-Erhard-Schule in Neuwied) und betrieblicher Ausbildung in Windhagen wirst Du von Deinen Ausbildern auf Dein späteres Berufsleben vorbereitet. Basierend auf einem innerbetrieblichen Ausbildungsplan durchläufst Du alle Bereiche innerhalb unserer Abteilung Informationsmanagement sowie in betroffenen Fachbereichen. In allen Bereichen werden Dir umfassende Kenntnisse vermittelt, damit du dich eigenständig unter anderem in den folgenden Themengebieten zum Experten weiterentwickeln kannst: Verbesserung der Unternehmensabläufe durch die Integration und Verbindung von IT-Systemen mit Produktions- und Logistiksystemen Identifikation, Einrichtung und Betrieb von Hardware und Software, die die weitergehende Automatisierung von Produktion und Logistik ermöglichen Konzeption und Entwicklung von Software für den Betrieb von IT-Schnittstellen Durchführung von Funktions- sowie Integrationstests und Erstellung von Dokumentationen Anwenderbetreuung in einem internationalen Umfeld Und nach der Ausbildung?Bei guter Leistung bieten wir Dir gemäß unserer Möglichkeiten selbstverständlich eine Übernahme an.Auf wen wir uns freuen:Junge Menschen, die zuverlässig sind, zielstrebig und engagiert im Team arbeiten können, flexibel und wissbegierig, offen und ehrlich sind und eine hohe Leistungsbereitschaft aufweisen. Verdienst während der Ausbildung nach Tarifvertrag
7;Ausbildung Fachinformatiker/in für digitale Vernetzung (m/w/d) bei Iniationware GmbH in Lohne (Oldenburg);https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-iniationware-gmbh-in-lohne-oldenburg-bbdf696c-ec00-43a2-ba62-ff70b9987231/;Keine Angabe;-;100% Ausbildung mit Work-Life-Balance.-Konzept (nur mit regionalem Wohnsitz möglich)Wir bieten dir ein junges und sehr modernes Team mit guten Skills im Bereich Internet der Dinge und Digitaler Zwilling für die Industrie 4.0. 100% Ausbildung und das Lernen mit Work-Life-Balance als didaktisches Konzept. Spannend auf die Zukunft vorbereitet werden, das ist unser Ziel für dich! Für eine Bewerbung ist ein Wohnsitz in regionaler Nähe notwendig. Wir bieten keine Remote-Ausbildung an. Verdienst während der Ausbildung nach Absprache
8;Ausbildung - Fachinformatiker Digitale Vernetzung (w/m/d) bei Schwarz Produktion in Weißenfels;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-digitale-vernetzung-w-m-d-bei-schwarz-produktion-in-weissenfels-12999c63-1eea-40c7-97ac-aca517fcf60b/;Mittlere Reife;-;Damit alles rundläuft, muss jemand das große Ganze im Blick behalten. Weil dieses Ganze bei uns ziemlich groß ist, suchen wir vorausschauende Organisationstalente, die es lieben anzupacken und Neues aufzubauen. Kurz: Dich. Als Azubi lernst du, wie man dafür sorgt, dass unsere Fabriken erfolgreich arbeiten können. Unser Angebot: ein ordentliches Gehalt, beste Aufstiegschancen und eine richtig gute Work-Life-Balance. Deal? DAS LERNST DU Du lernst die IT-Aufgaben mit dem Schwerpunkt der IT-Infrastruktur in einem modernen Produktionsunternehmen kennen, deren Abläufe und to-dos für die Einrichtung, Vernetzung, Dokumentation und den Betrieb von IT-Komponenten. Du kommunizierst nicht nur IT intern, sondern auch mit anderen Fachbereichen und Partnern. Du unterstützt in den Themenbereichen Industrial Server and Hosting und lernst so die IT-Infrastruktur vollumfänglich kennen. In der Berufsschule in Leipzig lernst du alle theoretischen Inhalte, die für die praktische Umsetzung wichtig sind, wie bspw. Integration von Software- und Hardware-Produkten in die bestehende IT-Landschaft oder Planung, Installation, Konfiguration und Pflege komplexer IT-Systeme DAS LIEFERST DU einen Realschulabschluss oder höherer Abschluss mit guten Leistungen in Mathematik und Deutsch ein IT-Grundverständnis sowie Interesse an IT mit dem Schwerpunkt IT-Infrastruktur Grundkenntnisse in Script- und Programmiersprachen Office-Anwendungen sind dir bekannt und du kannst sie bedienen Lernbereitschaft und Kommunikationsstärke - Zuverlässigkeit und Verantwortungsbewusstsein DAS LIEFERN WIR eine abwechslungsreiche Ausbildung mit Perspektive in einem Unternehmen mit Duz-Kultur umfassende Betreuung durch Ausbildungsverantwortliche und den Fachbereich eine attraktive überdurchschnittliche Vergütung (1. Jahr 1.000€/ 2.Jahr 1.100€/ 3.Jahr 1.250€ pro Monat) Urlaubs-, Weihnachtsgeld, Altersvorsorge und Prämierung guter Schulnoten uvm. Übernahme von Fahrtkosten zur Berufsschule sowie Kosten für Schulmaterialien umfangreiche Gesundheitsangebote, u.a. Resilienzfähigkeit, Sportevents, online Kursangebote 29 Urlaubstage gemäß Tarifvertrag UNSER ANGEBOT Vertragsart: Ausbildung bis 31.07.2027 Zu besetzen ab: 01.08.2024 Arbeitszeit: 40 Stunden pro Woche AUF WAS WARTEST DU NOCH?Bewirb dich einfach direkt unter „Bewerbung starten“ oder auf jobs.schwarz-produktion.com.
9;Ausbildung Fachinformatiker/in für digitale Vernetzung (m/w/d) bei Liftstar GmbH in Köln;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-liftstar-gmbh-in-koeln-05d6a218-ccc0-41d7-afdc-ef855322813a/;Keine Angabe;"-1. Jahr => 1065 €; 2. Jahr => 1118 €; 3. Jahr => 1197 €; ";"Das ist die LiftstarEin Liftstar zu sein, ist mehr als nur ein Job! Wir sind eine der erfolgreichsten Vertriebsorganisationen in Deutschland und Marktführer im Bereich der Treppenlifte. Als absoluter Innovator und Treiber der Branche gehen wir immer wieder mutig voran und setzen neue Maßstäbe. Wir wissen, Treppenlifte zu verkaufen ist Mannschaftssport - deshalb gehören wir zu den Besten am Markt. Starte als Nachwuchstalent deine Ausbildung zum Fachinformatiker bei uns und wir machen dich zum Profi! Das erwartet dich während deiner Ausbildung: ChatGPT, RPA, IoT oder Cloud-Computing - wir haben neue Technologien und Trends aus dem digitalen Umfeld im Blick und wollen unsere IT-Landschaft stets modern halten, als Digital Native bist du wichtiger Impulsgeber. OneKit, Apps, Cybersecurity und Server-Landschaften - Neben dem Alltagsgeschäft bekommst du tiefe Einblicke in die Programmierung unserer eigenen App, beschäftigst dich mit unserer IT-Infrastruktur und der Cybersecurity bei Liftstar. ""Haben Sie versucht, den PC aus- und wieder einzuschalten?"" - Ein Satz, den man nicht nur aus Memes kennt. Bei 900 Mitarbeitern sind kleine und große IT-Probleme Alltag. Du hilfst unseren Liftstars bei ihren technischen Problem und findest eine Lösung. Perspektive - Durch individuelle Entwicklung machen wir dich zum IT-Profi. Wir stehen voll und ganz hinter dir und unterstützen dich während deiner Ausbildung, ganz gleich, ob bei beruflichen, privaten oder schulischen Herausforderungen. Mit uns hast du einen starken Sparringspartner! Das erwarten wir von dir: Nerds und Nicht-Nerds sind gleichermaßen willkommen. In erster Linie musst du Lust auf IT haben und immer dein Bestes geben - erfolgreich machen wir dich. Du kannst dich sehr gut in deutscher Sprache in Wort und Schrift ausdrücken und hast Freude am Brainstormen mit deinen Kollegen, bist proaktiv in der Lösungsfindung und bringst deine Ideen eigenständig ein. Du bist ein absoluter Teamplayer, bist wissbegierig und bereit, auch mal die Extra-Meile zu gehen. Warum Liftstar? Ein kleines und sympathisches Team aus Nerds und Fachexperten aus dem IT-Umfeld Ob über Diablo IV, ChatGPT oder deine Lieblingspizza, an der Kaffeemaschine findest du immer einen passenden Gesprächspartner. Eine attraktive Vergütung von 1.065,- € im ersten Jahr Dazu moderne Arbeitsmittel wie ein Laptop und ein iPhone. Sehr gute Übernahmechance und die Perspektive, dich als Spezialist in verschiedenen IT-Bereichen innerhalb des Unternehmens zu entwickeln. In einem modernen Umfeld beim Marktführer kannst du dein Potential voll ausschöpfen und von den Besten lernen, um den Grundstein deiner Karriere zu legen. Wir unterstützen nicht nur dich, sondern auch die Umwelt und unsere Mitmenschen. Als Unternehmen stellen wir uns unserer sozialen Verantwortung und einer nachhaltigen Entwicklung. Regelmäßige Azubievents, 30 Tage Urlaub, eine Urban-Sports-Club-Mitgliedschaft, Rabatte bei über 1000 Onlineshops und coole Kollegen sorgen dafür, dass du dich rund um die Uhr wohlfühlst. Verdienst während der Ausbildung 1. Jahr1065 €2. Jahr1118 €3. Jahr1197 €"
10;Ausbildung Fachinformatiker* - Digitale Vernetzung (Start 2024) bei ERBACHER the food family in Kleinheubach;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-digitale-vernetzung-start-2024-bei-erbacher-the-food-family-in-kleinheubach-2e97e583-1607-4044-9050-e3d5b22216f9/;Mittlere Reife;"-1. Jahr => 985 €; 2. Jahr => 1105 €; 3. Jahr => 1225 €; ";Ausbildung Fachinformatiker* - Digitale Vernetzung (Start 2024)ERBACHER the food family ist Vordenker und Vormacher zukunftsfähiger Ernährung. Als Familienunternehmen sind wir seit 80 Jahren Hersteller von Nutz- und Heimtiernahrung und hochwertigen Lebensmitteln. Unser Anspruch ist es, innovative Ernährung für Mensch und Tier in guter globaler Gemeinschaft zu erschaffen. Daran arbeiten wir mit über 800 Kolleginnen und Kollegen in Deutschland und internationalen Niederlassungen. Mit unserem Family Spirit fördern wir ein motivierendes Arbeitsumfeld. Eigenverantwortliches Arbeiten gehört für uns ebenso dazu, wie die Förderung der fachlichen und persönlichen Kompetenz aller Teammitglieder.Hat sich dein Traumjob schon immer um Computer gedreht? Wolltest du schon immer in einem zukunftsorientierten Beruf arbeiten? Hast du ein gutes technisches Verständnis und Interesse an der digitalen Vernetzung von Systemen? Bist du auf der Suche nach einem abwechslungsreichen Aufgabengebiet? Dann bist du bei uns genau richtig! Bewirb dich jetzt für deine Ausbildung und werde zum 1. September 2024 Teammitglied bei ERBACHER the food family! Das erwartet dich Eine 3-jährige Ausbildung mit IHK-Abschluss Eine zukunftsorientiere Ausbildung in der Informationstechnologie Spannende Aufgaben, wie… …die Vernetzung von IT-Systemen und -Anwendungen …die Sicherung von Daten …die Automatisierung von Prozessen und Produkten Dein ProfilDu… ...hast die mittlere Reife oder die allgemeine / fachgebundene Hochschulreife ...punktest durch gute Noten in den Fächern Mathematik, Informatik, Deutsch und Englisch ...verfügst über sehr gute Computerkenntnisse ...hast ein gutes technisches Verständnis ...bist ein Teamplayer und ständig bereit etwas Neues zu lernen Wir bieten dir Family spirit, ein tolles Team und unsere Du-Kultur auf allen Hierarchieebenen Viele Chancen für Deine persönliche und fachliche Entwicklung Sport-, Mobilitäts- und Gesundheitsangebote Flexible Arbeitszeiten – Zusätzliche Urlaubstage – Weihnachtsgeld, Urlaubsgeld Betriebliche Altersvorsorge &amp Unfallversicherung Vielfältige Weiterbildungsmöglichkeiten Kostenloses Müsli, Obst &amp Gemüse und bezuschusstes Mittagessen *Wichtig ist nur, dass wir zueinander passen. Herkunft und Geschlecht spielen keine Rolle.Wenn Du Dich für eine abwechslungsreiche Ausbildung interessierst und für ein zukunftsorientiertes, expandierendes Unternehmen tätig sein möchtest, dann schicke uns bitte Deine vollständigen Bewerbungsunterlagen.Gerne kannst Du Dich bei Fragen auch persönlich mit uns in Verbindung setzen.Wir freuen uns auf Deine Bewerbung! Verdienst während der Ausbildung 1. Jahr985 €2. Jahr1105 €3. Jahr1225 €
