Id;Title;Url;Graduation;Salary;Description
1;Training IT specialist (m/f/d) for system integration at Starke + Reichert GmbH & Co. KG in Kassel;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-m-w-d-fuer-systemintegration-bei-starke-reichert-gmbh-co-kg-in-kassel-d6de2e50-12bf-4107-a8f8-b3c7655b5698/;High school diploma;"-1. Year => €1025; 2nd year => €1100; 3rd year => €1200;";"Description of the training occupation: As an IT specialist for systems integration (m/f/d), you are responsible for the administration and commissioning of information and communication technology systems. You will become an IT specialist for the hardware of your company and your customers! With us you will learn basics about system architecture, hardware and operating systems. We will show you how project planning and implementation works for customers and teach you about the administration and maintenance of computer networks. With us, you will learn in theory and practice about the workflows in an IT system house and how you can support your team in dealing with customers on site , by phone and email everything about system architecture, hardware and operating systems how to manage system solutions the planning and implementation of projects maintenance and administration of systems and computer networks What do you bring with you? School leaving certificate: at least a technical college entrance qualification, good grades in the subjects: math, computer science and German, IT affinity and initial experience in “screwing” on PCs, desire to deal with customers. What we offer you: a future-proof company, a great team that can answer any questions you may have We will provide support with topics from vocational school and in preparing for the exam, fair training remuneration (1st year of training €1,025, 2nd year of training €1,100, 3rd year of training €1,200) good opportunities for your future - we always train according to your needs two weeks of external intensive training on the topic of ""basic IT knowledge"" right at the beginning of the training. Covering the cost of the Germany ticket (€49.00). Covering the cost of textbooks and supplies for exam preparation. Earnings during the training 1st year1025 €2. Year1100 €3. Year1200 €"
2;Training as an IT specialist in system integration in 2024 at Raiffeisen Waren GmbH in Kassel;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-systemintegration-2024-bei-raiffeisen-waren-gmbh-in-kassel-a30d7d5e-8d86-4aa0-8086-fe22553493d7/;Middle maturity;;www.raiffeisen-it.com We, the Raiffeisen Waren Group, are one of the most successful trading and service companies in Germany with additional locations in Denmark and Poland. With more than 3,200 people at over 220 locations, we shape our areas of agriculture, technology, building materials and energy in a friendly, grounded and energetic manner. Together. Because that's exactly what has connected us and been important to us for more than 125 years: togetherness, for one another and as human beings of our generation together. Because everyone sees a little piece of the world. Together we see the whole thing. Welcome to the Raiffeisen Waren group. Are you interested in training? - then you've come to the right place, because we are the #generationtogether. We do everything we can to train you in the best possible way, because young talent is important to us. In addition to your professional training, we attach particular importance to working together, for each other and as people - because that's what defines us. Are you interested in training? - then you've come to the right place, because we are the #generationtogether. We do everything we can to train you in the best possible way, because young talent is important to us. In addition to your professional training, we attach particular importance to working together, for each other and as people - because that's what defines us. Training IT specialist system integration 2024 ​ Kassel | Wolfsschlucht 15 ​ From August 1st, 2024 | Duration of training 3 years ​ full-time What you will learn with us With us you will get started straight away, because here you will be actively involved in all processes from the start and can put the theoretical into practice. During your training you will learn how to solve system errors or other malfunctions The procurement, integration and support of hardware and software are part of your area of ​​responsibility and are child's play for you. After your training, you will be a professional when it comes to planning and configuring IT systems. You will also get to know the integration of customer-specific hardware and software applications. That's it Your job if... ...you enjoy working with PC applications ...you have good knowledge of mathematics and English ...you can think abstractly and logically ...you can remember things well ...you have organizational talent and have initiative ...you like it You work independently, but also like to work in a team...You have at least a technical college entrance qualification (FR business informatics) or university entrance qualification Start your application now Apply now
3;Training as an IT specialist in system integration (m/f/d) at EDEKA Verbund in Melsungen;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-systemintegration-m-w-d-bei-edeka-verbund-in-melsungen-655b02aa-3225-4dd1-98e7-5e1ece01505c/;Middle maturity;;What do you make of yourself? Become part of the system: Your training as an IT specialist in system integration challenges your hardware and software knowledge and requires a high level of concentration and resilience. You take on the tasks of the service provider in-house or at the customer's and are the first point of contact for solving application and system problems. You will also advise and train external and internal users on the selection and use of devices, take care of the networking of hardware and software components and implement customer-specific information and communication solutions. Installation of hardware and software Configuration and optimization of existing networks Advising users Database administration Troubleshooting errors through the use of expert and diagnostic systems Setting up and managing hardware and software components User support Analysis and elimination of system errors What should you bring with you? Interest in hardware and software Technical and analytical thinking Systematic and precise way of working as well as goal-oriented approach Good concentration and resilience Ability to work in a team Sense of responsibility Duration and process Your training lasts three years - but under certain conditions it can be shortened. After successfully passing the exam, you will have a qualification as an IT specialist in system integration - a varied area of ​​responsibility at EDEKA. At the same time, we support you with a series of seminars and training courses that refine your IT skills. After your training, you have a variety of further training opportunities - for example to become a sub-project manager, group leader, business economist for information processing or specialist in computer management. Enough information? Then send us the completed contact form with your complete application documents. What happens next?Applying is very easy. You can even send them online here. What you need is first of all a CV and a cover letter. Then you upload a few attachments, such as school reports and/or an internship certificate - and the process starts. In order to offer all applicants the same opportunity, we carefully review all documents. So please be a little understanding if it takes longer. You are also welcome to ask the company of your choice directly about the status of your application. You can find further information about this apprenticeship here. We look forward to getting to know you! Everyone is welcome here – regardless of gender, nationality, ethnic and social origin, disability, religion, age or sexual orientation.
4;Training as an IT specialist for system integration (m/f/d) at Noelle + von Campe GmbH & Co. KG in Boffzen;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-noelle-von-campe-gmbh-co-kg-in-boffzen-61b9849f-0fb3-4b54-aeee-9d05eb70c339/;Not specified;;As an IT specialist in systems integration, you are the ultimate computer specialist - which is why the job is perfect for you if you like working on a PC anyway. During your training you will become our expert for IT infrastructure and PC systems. You will learn to be very familiar with servers, clients and networks, as well as how to maintain and optimize them. When it comes to IT security, you are called... No matter how sophisticated the requirements or what dependencies/interfaces there are - you keep everything under control. This also includes knowing modern cloud and security technologies.
5;Training IT specialist for system integration (f/m/d) at GLS General Logistics Systems Germany GmbH & Co. OHG in Neuenstein (Hesse);https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-fuer-systemintegration-w-m-d-bei-gls-general-logistics-systems-germany-gmbh-co-ohg-in-neuenstein-hessen-48213941-e206-468f-8ce4-3640cdcc48ff/;Not specified;;With us you can start your career straight away as an IT specialist for system integration (f/m/d). Whether in field IT, application support, development or network operations – you are our colleague (f/m/d) of tomorrow. We will teach you how a team becomes teamwork: cohesion, more collegial Exchanges and team events are very important to us! This will help you become an IT professional: You will learn to use, manage and maintain systems correctly: If something doesn't go smoothly, you get to the bottom of things and keep your nerve as one thing leads to another fits? You'll soon be able to connect existing systems with new ones and ensure that all parts are perfectly integrated. We'll show you how a network is set up and configured. You have a lot of contact with other departments in the company and coordinate with each other. This is what you bring with you: A good secondary school diploma or secondary school diploma. You don't like your current studies and you want to start working life. You like to tinker and can think outside the box You find it easy to structure things and keep track of things You are interested in the administration and configuration of IT systems, hardware and software Nothing works without the team: You enjoy working in a team a class B driving license Look forward to: BonusWe value your commitment. Very good performance pays off with us.CareWe take care of you. Your trainer and your team will always have an open ear for you. Further training During our diverse training courses, you will learn something new every time - from MS Office to service to presentation strategies. Team events To ensure a great team spirit, we organize events and team events with colleagues and the other trainees. Further developmentAnd after training? With us you can complete the GLS business administration degree or a dual course of study. Digital equipment You will receive a company laptop from us that you can also use for school. Travel allowance to the vocational school You will receive financial support for your journey to the vocational school. Interested? Then take the first step and apply online with your application documents (cover letter, CV, certificates) using the apply button. Please note that we only consider online applications - this is not only more environmentally friendly, but also quick and easy for you and us. Severely disabled people will be given priority if they are equally qualified. Questions? You can send us your questions in the WhatsApp chat on the number + Write to 49 172 1781347 or Sina-Loris Topal will answer your questions personally on 06677 646 559271. How do we work? Do you want to know how things are going for us and what our everyday work looks like? Our employees will take you with them and show you what awaits you at GLS Germany.
6;Training as an IT specialist for system integration (m/f/d) at ITSCare – IT services for the health market GbR in Schwalmstadt;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-itscare-it-services-fuer-den-gesundheitsmarkt-gbr-in-schwalmstadt-c5b6e0bf-860c-453e-84d1-2831756878b5/;Middle maturity;;Insights into the company ITSCare, based in Frankfurt and with a central company location in Stuttgart, is a 100% subsidiary of three AOKs. As a service provider, we have around 700 qualified employees and are responsible for processing and storing the social data of around 7.5 million insured people. As a specialist in networks, hardware, software, telecommunications and data center operations, we stand for performance and services of the highest quality. Would you like to be involved in the development of a competent IT full service provider? Then apply to us by September 1st, 2024! Your tasks: You ensure that the IT runs. You advise on purchasing the right hardware and software and put together complete systems and networks, which you not only install but also maintain yourself. As a future IT expert, you are also able to: Giving users the technically necessary support You deal intensively with new, often complex topics in the areas of applications, support, agile development of IT solutions, etc. The training takes place mainly in Ziegenhain, although you will also occasionally work at other locations ITSCare can be used. The training in cooperation with the Schwalmstadt vocational school campus lasts 3 years. Your profile Enjoy solving “IT puzzles” Interest in technical systems and in our industry, statutory health insurance Enjoy dealing with people and customers You approach your future job with curiosity and motivation At least a good secondary school leaving certificate Your benefits A varied one Training A secure future perspective with a permanent employment relationship with good performance Participation in trainee projects, even outside of day-to-day business An attractive training remuneration according to the collective agreement BAT/AOK-Neu We look forward to your application.Ina WinterTraining Coordination069 66813-1944We will be happy to answer your questions.Information You can find information about the processing of your application data by ITSCare at itscare.de
7;Trainee as an IT specialist specializing in system integration (m/f/d) at KWS SAAT SE & Co. KGaA in Einbeck;https://www.ausbildung.de/stellen/auszubildende-r-zum-fachinformatiker-fachrichtung-systemintegration-m-w-d-bei-kws-saat-se-co-kgaa-in-einbeck-b103854d-6648-4340-aa25-940b362ce458/;Middle maturity;;Are you not afraid of dealing with numbers? Do you want to manage data and check the operations of an international industrial company? At our location in Einbeck, we are offering training positions as IT specialists specializing in system integration (m/f/d) at KWS SAAT SE &amp Co. KGaA from August 1, 2024. What the training includes: You will work on setting up and configuring IT systems. You will get to know both the hardware and software components and can therefore acquire comprehensive knowledge of technical processes. You will gain a good insight into operating systems as well as database and network structures. Your job is, among other things, to ensure that the technology within the company functions smoothly. During your training, you will learn how to troubleshoot application and system problems. You will also advise your colleagues on the selection and use of technical equipment. What you should bring with you: You have a good secondary school diploma and see your strengths in scientific areas such as mathematics and computer science. You also enjoy getting to the bottom of technical problems. Even if it may take a little longer until the cause of the error is found. Abstract and solution-oriented thinking comes easy to you and you enjoy helping and supporting people with technical difficulties. You enjoy constantly delving into new subject areas and expanding your knowledge. Since the technical language of computer science is English, you should be able to speak it well. Would you like to “grow” at KWS? Then we look forward to receiving your digital application (cover letter, CV, relevant certificates). If you have any questions about the training position, please contact yvonne.knaak-schweiss@kws.com. Please note that for data protection reasons we can only accept applications via our online portal. About KWSKWS is one of the leading plant breeding companies worldwide. Over 5,000 employees in more than 70 countries generated sales of around 1.5 billion euros in the 2021/2022 financial year. KWS has been run independently as a family-run company for over 165 years. The focus is on plant breeding and the production and sale of corn, sugar beet, grain, vegetable, rapeseed and sunflower seeds. KWS uses the most modern plant breeding methods to increase farmers' yields and further improve the resistance of plants to diseases, pests and abiotic stress. In order to achieve this goal, the company invested more than 285 million euros in research and development in the last financial year.
8;Training as an IT specialist for system integration (m/f/d) at MRH Trowe in Alsfeld;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-mrh-trowe-in-alsfeld-24345ae2-cae0-4220-88a7-0a08cef1a0b2/;high school diploma;"-1. year => €1120; 2nd year => €1195; 3rd year => €1280;";"Are you looking for a training position as an IT specialist for system integration (m/f/d) for 2024? At first glance, the industry doesn't seem interesting - in fact, we are experiencing exciting things such as a stadium that is under water or the securing of Formula 1 race tracks. From large international corporations to innovative startups, we work with inspiring companies from a wide range of industries. It's worth a second look! Would you like to get involved in a rapidly growing and digitalized company and further expand your strengths? At MRH Trowe, more than 1,200 employees meet each other with respect and enthusiasm with the aim of achieving the best for us and our customers! You look for and find... a successful training company that actively supports you and offers you a wide range of further development opportunities even after your training. a varied training where you get to know lots of interesting people and can live out your affinity for IT. reliable training with above-average training remuneration. Training without boredom, but with exciting projects and tasks. Your tasks during the training... the design and implementation of information and communication solutions, the networking of hardware and software components, the planning, installation, testing and documentation of networks, the optimization and modification of existing networks, the training and advice of users, the diagnosis of errors and their elimination, the use of modern technologies and solutions, the administration of cloud solutions, the use and further development of the workspace management system, the design and provision of the “digital workplace” We are looking for trainees with... a subject-specific or general university entrance qualification with at least good school grades. Passion for IT systems. technical and analytical thinking skills. focused, precise and, above all, systematic way of working. open communication and a team player mentality. Enjoy implementing ideas innovatively and digitally. You + We = MRH Trowe The motivation of our employees is an important part of our corporate culture. For us, this includes a modern workplace, trust-based working hours, home office and personal and professional development opportunities. A permanent employment relationship with a varied working environment also plays a key role in our DNA. A variety of benefits including a cafeteria system with components such as JobBike, childcare subsidy, private internet subsidy, monthly vouchers, lunch subsidy and much more round off our offer. Contact: Please send us your complete application documents by clicking on the ""Start application"" button. We are happy to answer any questions you may have. Further information can be found at: www.mrh-trowe.com. We look forward to hearing from you! Earnings during training 1st year1120 €2. Year1195 €3. Year1280 €"
9;Training - IT specialist (m/f/d) for system integration at dSPACE GmbH in Paderborn;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-m-w-d-fuer-systemintegration-bei-dspace-gmbh-in-paderborn-21657776-45ca-4c1c-9bc0-6e6b03bd6955/;Middle maturity;;The innovative software and hardware developed by our company must always meet current demands and requirements. As an IT specialist for system integration, you ensure that the IT infrastructure is designed for this. Training content Support for internal IT support First point of contact for internal employees for all questions and problems in the IT area Installation and setup of initial IT equipment for new employees Management and maintenance of IT equipment (desktop PCs, notebooks, peripherals (printers, telephones... ) for employees Installation and configuration of current operating systems and software Configuration of PC systems and network components Testing of IT components Analysis of errors and elimination of these errors Administrative activities, e.g. maintenance of the Active Directory, DHCP, Exchange etc. Participation in various Projects within IT (front and back office) During your training, you will work on real IT projects and receive comprehensive and practical training. Your profile High school entrance qualification, technical college entrance qualification or general university entrance qualification Good school performance in mathematics, physics/technology Curiosity and enjoy using computers Interest in technical contexts High willingness to work and learn Your opportunities and what we offer We work in international teams on the future technologies of the automotive industry. We offer very good job opportunities after successful completion of training. In cooperation with EGYM Wellpass, we offer an extensive company fitness program. We support your training with attractive compensation and a 13th month salary. We will pay you a voluntary monthly net inflation compensation of €150 in addition to your remuneration. At dSPACE you will receive optimal exam preparation. You always have a mentor at your side to support you in your tasks. Our trainees work independently on projects. Flexible working hours. Our dSPACE spirit: With us, everyone is on a first-name basis. There are no dress codes. What counts for us is people. You can find detailed information about the content and general conditions of the training at dSPACE on our homepage at: www.dspace.com We are now looking for motivated talents to start the training on August 1, 2024! We look forward to receiving an application with complete documents (cover letter, CV, copy of the last two certificates, internship certificates). There's (actually) something cool to see here! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.
10;Training 2024 - IT specialist for system integration (m/f/d) at RTB GmbH & Co. KG in Bad Lippspringe;https://www.ausbildung.de/stellen/ausbildung-2024-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-rtb-gmbh-co-kg-in-bad-lippspringe-e5dde83f-1fe8-41a4-a8d2-38f770837bc6/;High school diploma;;Training 2024 - IT specialist for system integration (m/f/d)Training 2024 - IT specialist for system integration (m/f/d)We want to shape the future together with you! Are math and computer science exactly your thing? Can you imagine being an active part of a team in the mobility of “tomorrow”? Then you've come to the right place! As of August 1, 2024, we are looking for you for the 3-year training as an IT specialist for system integration (m/f/d)!!! That's us: We, RTB GmbH &amp Co. KG, are an internationally oriented medium-sized company with around 140 employees. In addition to charging systems for electromobility, we develop, produce and sell innovative solutions for road traffic and parking. Your tasks include: • Development and implementation of information and telecommunications technology solutions • Improvement and expansion of our in-house IT infrastructure • Support and training of internal and external users What we want: • at least a technical college entrance qualification/(technical) high school diploma) • good mathematical and technical understanding • fun working with PCs and the latest IT • independent and careful work This is what we offer you: • a Diverse training with other trainees at our Bad Lippspringe location • Pleasant working atmosphere within the entire company • Attendance at the private vocational college ATIW GmbH in Paderborn (small classes, block lessons and additional seminars/training) • 30 days of vacation • Subsidy for capital-forming benefits or company pension scheme • Vacation and Christmas bonuses • And: If you perform well at school and at work, nothing will stand in the way of you getting a permanent position! We also support you with further training measures! Are you interested in training at RTB GmbH &amp Co. KG? Apply to us! We look forward to your meaningful application (cover letter, CV, last two school reports, certificates)!RTB GmbH &amp Co. KGMrs Rebecca Ewers-HaurandSchulze-Delitzsch-Weg 1033175 Bad LippspringeEmail: bewerbungen@rtb-bl.de
