Id;Title;Url;Graduation;Salary;Description
1;Ausbildung Fachinformatiker (m/w/d) für Systemintegration bei Starke + Reichert GmbH & Co. KG in Kassel;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-m-w-d-fuer-systemintegration-bei-starke-reichert-gmbh-co-kg-in-kassel-d6de2e50-12bf-4107-a8f8-b3c7655b5698/;Fachabitur;"-1. Jahr => 1025 €; 2. Jahr => 1100 €; 3. Jahr => 1200 €; ";"Beschreibung des Ausbildunsgberufs:Als Fachinformatiker für Systemintegration (m/w/d) bist du für die Administration und die Inbetriebnahme informations- und kommunikationstechnischer Systeme verantwortlich. Du wirst IT-Spezialist für die Hardware deines Unternehmens und deiner Kunden! Bei uns lernst du grundlegendes zu den Themen Systemarchitektur, Hardware und Betriebssysteme. Wir zeigen dir wie Projektplanung und -durchführung bei Kunden funktioniert und vermitteln dir die Administration und Wartung von Rechnernetzen.Bei uns lernst du in Theorie und Praxis die Arbeitsabläufe in einem IT-Systemhaus kennen und wie du dein Team unterstützen kannst den Umgang mit Kunden vor Ort, per Telefon und Mail alles Rund um Systemarchitektur, Hardware und Betriebssysteme wie man Systemlösungen betreut die Planung und Durchführung von Projekten Wartung und Administration von Systemen und Rechnernetzen Was bringst du dafür mit? Schulabschluss: mindestens Fachhochschulreife gute Noten in den Fächern: Mathe, Informatik und Deutsch IT-affinität und erste Erfahrungen im „schrauben“ an PCs Lust auf den Umgang mit Kunden Was wir dir bieten: ein zukunftssicheres Unternehmen ein tolles Team, das dir bei allen Fragen zur Seite stehen wird Unterstützung bei Themen aus der Berufsschule und bei der Vorbereitung auf die Prüfung eine faire Ausbildungsvergütung (1. Ausbildungsjahr 1.025€, 2. Ausbildungsjahr 1.100 €, 3. Ausbildungsjahr 1.200 €) gute Chancen für deine Zukunft - wir bilden immer bedarfsorientiert aus zwei Wochen externes intensiv Training zum Thema ""IT-Basiswissen"" gleich zu Beginn der Ausbildung Übernahme der Kosten für das Deutschlandticket (49,00 €) Übernahme der Kosten für Schulbücher und Bedarf zur Prüfungsvorbereitung Verdienst während der Ausbildung 1. Jahr1025 €2. Jahr1100 €3. Jahr1200 €"
2;Ausbildung Fachinformatiker*in Systemintegration 2024 bei Raiffeisen Waren GmbH in Kassel;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-systemintegration-2024-bei-raiffeisen-waren-gmbh-in-kassel-a30d7d5e-8d86-4aa0-8086-fe22553493d7/;Mittlere Reife;-;www.raiffeisen-it.com Wir, die Raiffeisen Waren-Gruppe, sind eines der erfolgreichsten Handels- und Serviceunternehmen in Deutschland mit zusätzlichen Standorten in Dänemark und Polen. Sympathisch geerdet und energiegeladen gestalten wir mit mehr als 3.200 Menschen an über 220 Standorten unsere Bereiche Agrar, Technik, Baustoffe und Energie. Gemeinsam. Weil uns genau das seit mehr als 125 Jahren verbindet und am Herzen liegt: Das Miteinander, Füreinander und Menscheinander unserer Generation Gemeinsam. Denn: Jeder sieht ein Stückchen Welt. Gemeinsam sehen wir die Ganze. Willkommen in der Raiffeisen Waren-Gruppe. Du hast Bock auf eine Ausbildung? - dann bist Du bei uns genau richtig, denn wir sind die #generationgemeinsam. Wir setzen alles daran, Dich bestmöglich auszubilden, denn Nachwuchs ist uns wichtig. Neben Deiner fachlichen Ausbildung legen wir besonders viel Wert auf das gemeinsame Miteinander, Füreinander und Menscheinander – denn das macht uns aus. Du hast Bock auf eine Ausbildung? - dann bist Du bei uns genau richtig, denn wir sind die #generationgemeinsam. Wir setzen alles daran, Dich bestmöglich auszubilden, denn Nachwuchs ist uns wichtig. Neben Deiner fachlichen Ausbildung legen wir besonders viel Wert auf das gemeinsame Miteinander, Füreinander und Menscheinander – denn das macht uns aus. Ausbildung Fachinformatiker*in Systemintegration 2024 ​ Kassel | Wolfsschlucht 15 ​ Ab 01.08.2024 | Ausbildungsdauer 3 Jahre ​ Vollzeit Das lernst Du bei uns Bei uns startest Du direkt durch, denn hier bist Du von Anfang an aktiv in alle Abläufe eingebunden und kann das theoretische direkt in der Praxis umsetzen Während Deiner Ausbildung erlernst Du das Lösen von Systemfehlern oder anderen Störungen Die Beschaffung, Integration und Betreuung von Hard- und Software gehören mit zu deinem Aufgabengebiet und sind für Dich ein Kinderspiel Nach Deiner Ausbildung bist Du ein Profi in Sachen IT-Systeme planen und konfigurieren Auch die Integration kundenspezifischer Hard- und Softwareanwendungen lernst Du kennen Das ist Dein Job, wenn ... …Du Spaß am Umgang mit PC-Anwendungen hast …Du gute Mathematik- und Englischkenntnisse mitbringst …Du abstrakt und logisch denken kannst …Du Dir Sachen gut merken kannst …Du ein Organisationstalent bist und Eigeninitiative mitbringst …Du gern selbständig arbeitest, aber auch gern im Team arbeiten magst …Du mindestens Fachhochschulreife (FR Wirtschaftsinformatik) oder Hochschulreife mitbringst Starte jetzt Deine Bewerbung Jetzt bewerben
3;Ausbildung zum Fachinformatiker Systemintegration (m/w/d) bei EDEKA Verbund in Melsungen;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-systemintegration-m-w-d-bei-edeka-verbund-in-melsungen-655b02aa-3225-4dd1-98e7-5e1ece01505c/;Mittlere Reife;-;Was macht man da aus sich?Werde Teil des Systems: Deine Ausbildung zum Fachinformatiker Systemintegration fordert deine Hard- und Software-Kenntnisse und setzt ein hohes Maß an Konzentrationsfähigkeit sowie Belastbarkeit voraus. Du übernimmst die Aufgaben des Dienstleisters im eigenen Haus oder beim Kunden und bist erster Ansprechpartner bei der Lösung von Anwendungs- und Systemproblemen. Außerdem berätst und schulst du externe und interne Benutzer bei der Auswahl und dem Einsatz der Geräte, kümmerst dich um die Vernetzung von Hard- und Software-Komponenten und setzt kundenspezifische Informations- und Kommunikationslösungen um. Installation von Hard- und Software Konfiguration und Optimierung bereits bestehender Netzwerke Beratung von Nutzern Datenbankadministration Behebung von Fehlern durch den Einsatz von Experten- und Diagnosesystemen Einrichtung und Verwaltung von Hard- und Softwarekomponenten Nutzersupport Analyse und Behebung von Systemfehlern Was sollte man dafür mitbringen? Interesse an Hard- und Software Technisches und analytisches Denkvermögen Systematische und exakte Arbeitsweise sowie zielorientiertes Vorgehen Gute Konzentrationsfähigkeit und Belastbarkeit Teamfähigkeit Verantwortungsbewusstsein Dauer und AblaufDeine Ausbildung dauert drei Jahre – aber unter bestimmten Voraussetzungen ist eine Verkürzung möglich. Nach erfolgreich bestandener Prüfung besitzt du den Abschluss des Fachinformatikers Systemintegration - ein abwechslungsreicher Aufgabenbereich bei EDEKA. Parallel unterstützen wir dich mit einer Reihe von Seminaren und Schulungen, die deine Informatikkenntnisse verfeinern. Nach deiner Ausbildung hast du verschiedenste Fortbildungsmöglichkeiten - etwa in Richtung Teilprojektleiter, Gruppenleiter, zum Betriebswirt für Informationsverarbeitung oder zum Fachwirt für Computer-Management.Genug informiert? Dann schicke uns das ausgefüllte Kontaktformular mit deinen vollständigen Bewerbungsunterlagen. Wie geht's weiter?Eine Bewerbung ist ganz einfach. Du kannst sie sogar hier online versenden. Was du dafür brauchst, ist zunächst einmal einen Lebenslauf und ein Anschreiben. Dann lädst du noch ein paar Anlagen, wie Schulzeugnisse und/oder eine Praktikumsbescheinigung hoch – und schon läuft der Prozess. Um allen Bewerbern die gleiche Chance zu bieten, sichten wir alle Unterlagen aufmerksam. Habe deshalb bitte ein wenig Verständnis, wenn es einmal länger dauert. Gerne kannst du auch direkt in deinem Wunsch-Unternehmen nach dem Stand deiner Bewerbung fragen. Weitere Informationen über diesen Ausbildungsberuf findest Du hier. Wir freuen uns darauf, Dich kennen zu lernen!Willkommen sind bei uns alle Menschen – unabhängig von Geschlecht, Nationalität, ethnischer und sozialer Herkunft, Behinderung, Religion, Alter sowie sexueller Orientierung.
4;Ausbildung Fachinformatiker/in für Systemintegration (m/w/d) bei Noelle + von Campe GmbH & Co. KG in Boffzen;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-noelle-von-campe-gmbh-co-kg-in-boffzen-61b9849f-0fb3-4b54-aeee-9d05eb70c339/;Keine Angabe;-;Als Fachinformatiker/Fachinformatikerin Systemintegration sind Sie der Computer-Spezialist schlechthin – deswegen ist der Job perfekt für Sie, wenn Sie ohnehin gern am PC arbeiten. In der Ausbildung werden Sie zu unserem Experten für die IT-Infrastruktur und PC-Systeme. Sie lernen sich bestens mit Servern, Clients und Netzwerken auszukennen, sowie diese zu pflegen und zu optimieren. Wenn es um die IT-Sicherheit geht, werden Sie gerufen... Egal, wie ausgeklügelt die Anforderungen oder welche Abhängigkeiten/Schnittstellen vorhanden sind – Sie behalten alles unter Kontrolle. Dazu gehört auch, moderne Cloud- und Securitytechnologien zu kennen.
5;Ausbildung Fachinformatiker für Systemintegration (w/m/d) bei GLS General Logistics Systems Germany GmbH & Co. OHG in Neuenstein (Hessen);https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-fuer-systemintegration-w-m-d-bei-gls-general-logistics-systems-germany-gmbh-co-ohg-in-neuenstein-hessen-48213941-e206-468f-8ce4-3640cdcc48ff/;Keine Angabe;-;Mit uns steigst Du direkt in das Berufsleben zur Fachinformatikerin / Fachinformatiker für Systemintegration (w/m/d) ein. Ob in der Field-IT, dem Application Support, im Development oder der Network Operations– Du bist unsere Kollegin / unser Kollege (w/m/d) von morgen.Wir bringen Dir bei, wie aus einem Team Teamwork wird: Zusammenhalt, kollegialer Austausch und Teamevents werden bei uns GROß geschrieben!Damit wirst Du zum Informatik-Profi: Du lernst Systeme richtig einzusetzen, zu verwalten und zu warten: Wenn etwas nicht rundläuft, gehst Du den Dingen auf den Grund und behältst dabei die Nerven Wie eins zum anderen passt? Bald hast Du drauf, bestehende mit neuen Systemen zu verbinden und dafür zu sorgen, dass alle Teile perfekt integriert sind. Wir zeigen Dir wie ein Netzwerk aufgebaut und konfiguriert wird Du hast viel Kontakt mit anderen Abteilungen im Unternehmen und stimmst Dich ab Das bringst Du mit: Einen guten Hauptschulabschluss oder Realschulabschluss Dir gefällt dein aktuelles Studium nicht und Du hast Lust in das Berufsleben einzusteigen Du tüftelst gerne und kannst um die Ecke denken Es fällt Dir leicht, Dinge zu strukturieren und den Überblick zu behalten Du interessierst Dich für die Administration &amp Konfiguration von IT-Systemen, Hard- und Software Ohne das Team läuft nichts: Im Team arbeiten macht Dir Spaß Du hast einen Führerschein der Klasse B Freu Dich auf:PrämieWir schätzen Dein Engagement. Sehr gute Leistungen zahlen sich bei uns aus.BetreuungWir kümmern uns um Dich. Dein Ausbilder und Dein Team haben immer ein offenes Ohr für Dich.WeiterbildungBei unseren vielseitigen Schulungen lernst Du jedes Mal etwas dazu – von MS Office über Service bis hin zu Präsentationsstrategien.TeameventsFür einen tollen Teamspirit organisieren wir Veranstaltungen und Teamevents mit Kollegen und den anderen Azubis.WeiterentwicklungUnd nach der Ausbildung? Du kannst bei uns den GLS Betriebswirt oder ein Duales Studium anschließen.Digitale AusstattungDu bekommst von uns einen Firmenlaptop, den Du auch für die Schule verwenden kannst.Fahrtzuschuss zur BerufsschuleDu erhältst finanzielle Unterstützung bei Deiner Anfahrt zur Berufsschule. Interesse?Dann mach den ersten Schritt und bewirb Dich mit Deinen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Zeugnisse) online über den Bewerben-Button. Bitte beachte, dass wir nur Online-Bewerbungen berücksichtigen – das ist nicht nur umweltfreundlicher, sondern auch schnell und einfach für Dich und uns.Schwerbehinderte Menschen werden bei gleicher Eignung bevorzugt eingestellt.Fragen?Du kannst uns Deine Fragen im WhatsApp Chat unter der Nummer +49 172 1781347 schreiben oder Sina-Loris Topal beantwortet Dir Deine Fragen persönlich unter 06677 646 559271.Wie arbeiten wir?Du willst wissen, wie es bei uns läuft und wie unser Arbeitsalltag aussieht? Unsere Mitarbeiterinnen und Mitarbeiter nehmen Dich mit und zeigen Dir, was Dich bei GLS Germany erwartet.
6;Ausbildung Fachinformatiker/in für Systemintegration (m/w/d) bei ITSCare – IT-Services für den Gesundheitsmarkt GbR in Schwalmstadt;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-itscare-it-services-fuer-den-gesundheitsmarkt-gbr-in-schwalmstadt-c5b6e0bf-860c-453e-84d1-2831756878b5/;Mittlere Reife;-;Einblicke in das UnternehmenDie ITSCare mit Sitz in Frankfurt und zentralem Unternehmensstandort in Stuttgart ist 100% Tochter von drei AOKs. Als Dienstleister sind wir mit ca. 700 qualifizierten Mitarbeitenden verantwortlich für die Verarbeitung und Speicherung der Sozialdaten von ca. 7,5 Millionen Versicherten. Als Spezialist für Netzwerke, Hardware, Software, Telekommunikation und Rechenzentrumsbetrieb stehen wir für Leistungen und Services von höchster Güte.Du möchtest an der Entwicklung eines kompetenten IT-Full-Serviceproviders mitwirken? Dann bewerbe Dich zum 01.09.2024 bei uns! Deine Aufgaben Du sorgst dafür, dass die IT läuft Du berätst beim Kauf der passenden Hard- und Software und stellst komplette Systeme und Netze zusammen, die Du nicht nur installierst, sondern auch selbst betreust Als zukünftiger IT-Experte bist Du auch in der Lage, Anwendern die technisch notwendige Unterstützung zu geben Du beschäftigst dich intensiv mit neuen, oft komplexen Themen aus den Bereichen Anwendungen, Support, agilen Entwicklungen von IT-Lösungen etc. Die Ausbildung findet zum überwiegenden Teil in Ziegenhain statt, wobei Du zeitweise auch an anderen Standorten der ITSCare eingesetzt werden kannst. Die Ausbildung in Kooperation mit dem BerufsschulCampus Schwalmstadt dauert 3 Jahre. Dein Profil Spaß beim Lösen von „IT-Rätseln“ Interesse an technischen Systemen und an unserer Branche, der gesetzlichen Krankenversicherung Freude am Umgang mit Menschen und mit Kunden Du gehst neugierig und motiviert an Deinen zukünftigen Beruf heran Mindestens eine gute Mittlere Reife Deine Benefits Eine abwechslungsreiche Ausbildung Eine sichere Zukunftsperspektive mit Übernahme in ein unbefristetes Arbeitsverhältnis bei guten Leistungen Mitwirkung an Azubiprojekten, auch außerhalb des Tagegeschäfts Eine attraktive Ausbildungsvergütung nach dem Tarifvertrag BAT/AOK-Neu Wir freuen uns auf Deine Bewerbung.Ina WinterAusbildungskoordination069 66813-1944Deine Fragen beantworten wir gerne.Informationen zur Verarbeitung Deiner Bewerbungsdaten durch die ITSCare findest Du unter itscare.de
7;Auszubildende/r zum Fachinformatiker Fachrichtung Systemintegration (m/w/d) bei KWS SAAT SE & Co. KGaA in Einbeck;https://www.ausbildung.de/stellen/auszubildende-r-zum-fachinformatiker-fachrichtung-systemintegration-m-w-d-bei-kws-saat-se-co-kgaa-in-einbeck-b103854d-6648-4340-aa25-940b362ce458/;Mittlere Reife;-;Du scheust Dich nicht vor dem Umgang mit Zahlen, möchtest Daten verwalten und Betriebsvorgänge eines international aufgestellten Industriebtriebes prüfen? An unserem Standort in Einbeck bieten wir zum 1. August 2024 Ausbildungsplätze zum/zur Fachinformatiker(in) Fachrichtung Systemintegration (m/w/d) bei der KWS SAAT SE &amp Co. KGaA an. Was die Ausbildung beinhaltet: Du beschäftigst dich mit dem Aufbau und der Konfiguration von IT-Systemen. Du lernst sowohl die Hardware- als auch die Softwarekomponenten kennen und kannst dir somit ein umfassendes Wissen über technische Abläufe aneignen. Dabei erhältst du einen guten Einblick in Betriebssysteme sowie Datenbank- und Netzwerkstrukturen. Deine Aufgabe ist es unter anderem, dafür zu sorgen, dass die Technik innerhalb des Unternehmens reibungslos funktioniert. In deiner Ausbildung lernst du Fehler bei Anwendungs- und Systemproblemen zu beheben. Weiterhin berätst du deine Kollegen bei der Auswahl und dem Einsatz von technischen Geräten Was Du mitbringen solltest: Du verfügst über einen guten Realschulabschluss und siehst deine Stärken in den naturwissenschaftlichen Bereichen wie Mathematik und Informatik Zudem hast du Spaß, technischen Problemen auf den Grund zu gehen, auch wenn es vielleicht einmal etwas länger dauert, bis die Ursache für den Fehler gefunden worden ist. Abstraktes und lösungsorientiertes Denken fällt dir leicht und du hast Freude daran Menschen bei technischen Schwierigkeiten zu helfen und zu unterstützen. Du hast Spaß daran, Dich immer wieder in neue Themengebiete einzuarbeiten und dein Wissen zu erweitern. Da die Fachsprache der Informatik Englisch ist, solltest du sie gut beherrschen können. Möchtest Du bei der KWS „wachsen“?Dann freuen wir uns auf Deine digitale Bewerbung (Anschreiben, Lebenslauf, relevante Zeugnisse). Solltest Du noch Fragen zum Ausbildungsplatz haben, dann wende dich bitte an yvonne.knaak-schweiss@kws.com. Bitte beachte, dass wir aus datenschutzrechtlichen Gründen Bewerbungen ausschließlich über unser Online-Portal annehmen können. Über KWSKWS ist eines der führenden Pflanzenzüchtungsunternehmen weltweit. Über 5.000 Mitarbeiter in mehr als 70 Ländern erwirtschafteten im Geschäftsjahr 2021/2022 einen Umsatz von rund 1,5 Mrd. Euro. Seit über 165 Jahren wird KWS als familiengeprägtes Unternehmen eigenständig und unabhängig geführt. Schwerpunkte sind die Pflanzenzüchtung und die Produktion sowie der Verkauf von Mais-, Zuckerrüben-, Getreide-, Gemüse-, Raps- und Sonnenblumensaatgut. KWS setzt modernste Methoden der Pflanzenzüchtung ein, um die Erträge der Landwirte zu steigern sowie die Widerstandskraft von Pflanzen gegen Krankheiten, Schädlinge und abiotischen Stress weiter zu verbessern. Um dieses Ziel zu realisieren, investierte das Unternehmen im vergangenen Geschäftsjahr mehr als 285 Mio. Euro in Forschung und Entwicklung.
8;Ausbildung Fachinformatiker/in für Systemintegration (m/w/d) bei MRH Trowe in Alsfeld;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-mrh-trowe-in-alsfeld-24345ae2-cae0-4220-88a7-0a08cef1a0b2/;Abitur;"-1. Jahr => 1120 €; 2. Jahr => 1195 €; 3. Jahr => 1280 €; ";"Du suchst für das Jahr 2024 einen Ausbildungsplatz als Fachinformatiker/in für Systemintegration (m/w/d)?Auf den ersten Blick erscheint die Branche nicht interessant – tatsächlich erleben wir spannende Dinge wie beispielsweise ein Stadion, das unter Wasser steht oder die Absicherung von Formel-1-Rennstrecken. Von großen internationalen Konzernen bis zu innovativen Startups arbeiten wir mit inspirierenden Unternehmen der verschiedensten Branchen. Ein zweiter Blick lohnt sich! Du möchtest dich in ein stark wachsendes und digitalisiertes Unternehmen ein­bringen und Deine Stärken weiter ausbauen? Bei MRH Trowe begegnen sich mehr als 1.200 MitarbeiterInnen mit Respekt und Begeisterung mit dem Ziel, das Beste für uns und unsere Kunden zu erreichen!sterung! Du suchst und findest... einen erfolgreichen Ausbildungs­betrieb, der Dich aktiv fördert und Dir auch nach der Ausbildung ein breites Feld an Weiter­entwicklungs­möglich­keiten bietet. eine abwechslungsreiche Aus­bildung, bei der Du viele interessante Menschen kennen­lernst und deine Affinität zur IT ausleben kannst. eine zuverlässige Ausbildung mit über­durch­schnitt­licher Ausbildungs­vergütung. eine Ausbildung ohne Lange­weile, dafür mit spannenden Projekten und Aufgaben. Deine Aufgaben während der Ausbildung... die Konzipierung und Realisierung von Informations- und Kommunikationslösungen die Vernetzung von Hard- und Software-Komponenten die Planung, Installation, Testung und Dokumentierung von Netzwerken die Optimierung und Modifizierung vorhandener Netzwerke die Schulung und Beratung von Usern die Diagnose von Fehlern und deren Behebung der Umgang mit modernen Technologien und Lösungen die Administration von Cloud Lösungen die Verwendung und Weiterentwicklung des Workspace Management Systems die Gestaltung und Bereitstellung des „Digitalen Arbeitsplatzes“ Wir suchen Auszubildende mit... einem Abschluss der fach­gebundenen oder allgemeinen Hochschul­reife mit mindestens guten schulischen Noten. Leidenschaft für IT-Systeme. technischem und analytischem Denkvermögen. fokussierter, exakter und vor allem systematischer Arbeitsweise. einer offenen Kommunikation und Teamplayer­mentalität. Spaß daran, Ideen innovativ und digital umzusetzen. Du + Wir = MRH Trowe Die Motivation unserer Mitarbeitenden ist ein wichtiger Bestandteil unserer Unternehmenskultur. Dazu gehören für uns ein modern gestalteter Arbeitsplatz, Vertrauensarbeitszeit, Home-Office sowie persönliche und fachliche Entwicklungsmöglichkeiten. Ein unbefristetes Arbeitsverhältnis mit abwechslungsreichem Arbeitsumfeld spielt in unserer DNA ebenso eine Schlüsselrolle. Vielseitige Benefits inkl. einem Cafeteria System mit Bausteinen wie JobBike, Kinderbetreuungszuschuss, Zuschuss zum privaten Internet, monatliche Gutscheine, Zuschuss zum Lunch und vielem mehr runden unser Angebot ab. Kontakt:Bitte sende uns Deine vollständigen Bewerbungsunterlagen mit Klick auf den Button ""Bewerbung starten"".Für Rück­fragen stehen wir Dir gerne zur Ver­fügung.Weitere Informa­tionen findest Du unter: www.mrh-trowe.com.Wir freuen uns auf Dich! Verdienst während der Ausbildung 1. Jahr1120 €2. Jahr1195 €3. Jahr1280 €"
9;Ausbildung - Fachinformatiker/in (m/w/d) für Systemintegration bei dSPACE GmbH in Paderborn;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-m-w-d-fuer-systemintegration-bei-dspace-gmbh-in-paderborn-21657776-45ca-4c1c-9bc0-6e6b03bd6955/;Mittlere Reife;-;Die von unserem Unternehmen selbst entwickelte innovative Soft- und Hardware muss immer den aktuellen Ansprüchen und Anforderungen entsprechen. Als Fachinformatiker für die Systemintegration stellst du sicher, dass die IT-Infrastruktur dafür ausgelegt ist. Ausbildungsinhalte Unterstützung des internen IT-Supports Erste Anlaufstelle der internen Mitarbeitenden bei sämtlichen Fragen und Problemen im Bereich IT Installation und Einrichtung der IT-Erstausstattung für neue Mitarbeitende Verwaltung und Pflege der IT-Ausstattung (Desktop-PCs, Notebooks, Peripherie (Drucker, Telefon …) für die Mitarbeitenden Installation und Konfiguration aktueller Betriebssysteme und Software Konfiguration von PC-Systemen und Netzwerkkomponenten Test von EDV-Komponenten Analyse von Fehlern und Beseitigung dieser Störungen Administrative Tätigkeiten, z. B. Pflege des Active Directory, DHCP, Exchange etc. Mitwirkung an diversen Projekten innerhalb der IT (Front- und Back-Office) Bereits während der Ausbildung arbeitest du in realen IT-Projekten mit und wirst dabei umfassend und praxisnah ausgebildet. Dein Profil Fachoberschulreife, Fachhochschulreife oder Allgemeine Hochschulreife Gute schulische Leistungen in Mathematik, Physik/Technik Neugier und Freude am Umgang mit dem Computer Interesse an technischen Zusammenhängen Hohe Einsatz- und Lernbereitschaft Deine Chancen und was wir bieten Wir arbeiten in internationalen Teams an den Zukunftstechnologien der Automobilindustrie. Wir bieten sehr gute Übernahmechancen nach erfolgreichem Ausbildungsabschluss. In Kooperation mit EGYM Wellpass bieten wir ein umfangreiches Firmenfitnessprogramm an. Wir unterstützen deine Ausbildung mit einer attraktiven Vergütung und einem 13. Monatsgehalt. Einen freiwilligen monatlichen Netto-Inflationsausgleich in Höhe von 150 € zahlen wir Ihnen zusätzlich zu Ihrer Vergütung. Du erhältst bei dSPACE eine optimale Prüfungsvorbereitung. Du hast stets einen Mentor an deiner Seite, der dich bei deinen Aufgaben unterstützt. Unsere Azubis arbeiten eigenverantwortlich an Projekten. Flexible Arbeitszeiten. Unser dSPACE Spirit: Bei uns sind alle per Du. Dresscodes gibt es nicht. Was bei uns zählt, ist der Mensch. Ausführliche Infos zu den Inhalten und Rahmenbedingungen der Ausbildung bei dSPACE findest du auf unserer Homepage unter: www.dspace.com Für den Ausbildungsbeginn am 1. August 2024 suchen wir ab sofort wieder motivierte Talente!Wir freuen über eine Bewerbung mit vollständigen Unterlagen (Anschreiben, Lebenslauf, Kopie der letzten beiden Zeugnisse, Praktikumsbescheinigungen). Hier gibt es (eigentlich) was Cooles zu sehen! Das hier ist ein Platzhalter für Video-Content von YouTube. Neugierig? Dann schalte die Inhalte jetzt frei. Ja, ich erlaube die externen Inhalte von YouTube. Ich bin damit einverstanden, dass mir die externen Inhalte angezeigt werden. Personenbezogene Daten können an Drittplattformen übermittelt werden. Mehr Infos gibt es in der Datenschutzerklärung.
10;Ausbildung 2024 - Fachinformatiker/in für Systemintegration (m/w/d) bei RTB GmbH & Co. KG in Bad Lippspringe;https://www.ausbildung.de/stellen/ausbildung-2024-fachinformatiker-in-fuer-systemintegration-m-w-d-bei-rtb-gmbh-co-kg-in-bad-lippspringe-e5dde83f-1fe8-41a4-a8d2-38f770837bc6/;Fachabitur;-;Ausbildung 2024 - Fachinformatiker/in für Systemintegration (m/w/d)Ausbildung 2024 - Fachinformatiker für Systemintegration (m/w/d)Wir wollen die Zukunft mit Dir gemeinsam gestalten! Mathe und Informatik sind genau Dein Ding? Du kannst Dir vorstellen aktiv im Team an der Mobilität von „morgen“ mitzuwirken? Dann bist Du bei uns genau richtig!Zum 1. August 2024 suchen wir Dich für die 3-jährige Ausbildung zum Fachinformatiker für Systemintegration (m/w/d)!!!Das sind wir:Wir, die RTB GmbH &amp Co. KG, sind ein international ausgerichtetes mittelständisches Unternehmen mit rund 140 Mitarbeitern. Wir entwickeln, produzieren und vertreiben, neben Ladesystemen für die Elektromobilität, innovative Lösungen für den Straßenverkehr und für den Bereich Parken.Deine Aufgaben sind u. a.:• Entwicklung und Umsetzung von informations- bzw. telekommunikationstechnische Lösungen• Verbesserung und Erweiterung unserer hausinternen IT-Infrastruktur• Betreuung und Schulung inner- und außerbetrieblicher Benutzer Was wir uns wünschen:• mind. Fachhochschulreife/(Fach-)Abitur)• gutes mathematisches und technisches Verständnis• Spaß am Umgang mit PCs und neuster IT• selbstständiges und sorgfältiges ArbeitenDas bieten wir Dir:• eine vielfältige Ausbildung mit anderen Auszubildenden bei uns am Standort Bad Lippspringe• angenehme Arbeitsatmosphäre innerhalb des gesamten Unternehmens• Besuch des privaten Berufskollegs ATIW GmbH in Paderborn (kleine Klassen, Blockunterricht und Zusatzseminare/Schulungen)• 30 Tage Urlaub• Zuschuss zu Vermögenswirksamen Leistungen oder zur betrieblichen Altersvorsorge• Urlaubs- und Weihnachtsgeld• Und: Bei guten schulischen und betrieblichen Leistungen steht Dir einer Festanstellung nichts im Wege! Zudem unterstützen wir Dich bei Weiterbildungsmaßnahmen!Du bist an einer Ausbildung bei der RTB GmbH &amp Co. KG interessiert?Bewirb Dich bei uns! Wir freuen uns auf Deine aussagekräftige Bewerbung (Anschreiben, Lebenslauf, letzten zwei Schulzeugnisse, Zertifikate)!RTB GmbH &amp Co. KGFrau Rebecca Ewers-HaurandSchulze-Delitzsch-Weg 1033175 Bad LippspringeE-Mail: bewerbungen@rtb-bl.de
