Id;Title;Url;Graduation;Salary;Description
1;Training as an IT specialist (f/m/d) for system integration in 2024 at FingerHaus GmbH in Frankenberg (Eder);https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-w-m-d-fuer-systemintegration-2024-bei-fingerhaus-gmbh-in-frankenberg-eder-64e93ea5-884d-4fb3-aca9-f6469d8fb93a/;Not specified;;IT specialist for system integration (f/m/d) 2024 The focus of training as an IT specialist for system integration is the planning, configuration and installation of complex and interconnected information and communication systems. You will also have specific tasks in the areas of networks, wireless networks and client/server solutions. You assist colleagues with technical questions and help them if something doesn't work. This includes processing support requests. Your training serves to learn basic computer skills and introduce you to complex communication systems. Your tasks also include maintenance work in the event of technical problems. As you can see, the area of ​​responsibility is very varied. The training period lasts three years and you attend the vocational school in Frankenberg (Eder). Having all of the communications technology under control at all times and having an overview of complex networks – these are the main tasks of an IT specialist for system integration. But the social component of user support should not be underestimated either. Qualifications Computational and abstract logical thinking are no problem for you. Your good technical understanding and enjoyment of working independently will help you to empathize with the situations to be solved. You need a lot of patience. Teamwork is also an important quality that you should have, as you will work a lot with your colleagues. You have a secondary school leaving certificate, a technical college entrance qualification or a university entrance qualification. Requirements also include good basic knowledge of IT and good grades in mathematics, German and English. How to apply www.fingerhaus-karriere.de
2;Training as an IT specialist (m/f/d) for 2024 at AEG Power Solutions GmbH in Warstein;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-m-w-d-fuer-das-jahr-2024-bei-aeg-power-solutions-gmbh-in-warstein-b1cc2361-8d75-496d-b14f-8a78fac013d2/;high school diploma;;Vocational training is a recognized training occupation according to the Vocational Training Act. The training takes place in the company and at the vocational school. Duration of training: 3 years Training allowance: in accordance with the valid collective agreement of IG Metall 1st year of training: €1,065.592. Apprenticeship year: €1,118.653. Apprenticeship year: €1,197.47 Vocational school: Hubertus-Schwartz-Berufskolleg, Hattroper Weg 16, 59494 Soest The training courseThe training occupation of IT specialist in the field of system integration is a dual training that takes place in the training company and in the vocational school. Training content The training company (position, legal form and structure), vocational training, safety and health protection at work Business processes and operational organization Operating systems and applications Creating test concepts and plans Testing and supporting IT systems Applying programming logic and methods Data and functions summarized into objects Designing data models Differentiating network architectures Using programming languages ​​Configuring operating systems and other applications Developing and documenting application solutions Requirements High school diploma with at least average grades in the job-relevant subjects such as mathematics, computer science, physics and English Interest in data processing and computer science Abstract-logical thinking Technical understanding Communication skills Teamwork Ability to be sociable Careful and conscientious way of working. Earnings during training in accordance with collective agreement
3;Training as an IT specialist (m/f/d) for 2024 at Ecclesia Holding GmbH in Detmold;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-in-m-w-d-fuer-2024-bei-ecclesia-holding-gmbh-in-detmold-76e2091b-4fd6-424f-a59c-b8f9c3e3b39f/;High school diploma;"-1. Year => €1201; 2nd year => €1278; 3rd year => €1365;";The Ecclesia Group, with more than 2,500 employees and a placed premium volume of 2.6 billion euros p.a. a. the largest German insurance broker for companies and institutions. The group includes, among others, leading brokers for industry and commerce, logistics, credit insurance/financing, healthcare, social economy, church as well as insurance agents and a reinsurance broker. The spectrum of customer relationships extends from large listed corporations to medium-sized businesses to large clinics and church institutions. In addition, the Ecclesia Group has its own companies in six other European countries and operates in more than 170 countries worldwide via the ECCLESIA GLOBAL NETWORK. You don't start your professional life alone - you become part of a strong team! You will begin your training together with more than 40 trainees and dual students from the Ecclesia Group. You can get to know each other on an excursion and immerse yourself in the professional world together. The theoretical lessons take place at the Dietrich Bonhoeffer Vocational College. Java Script, HTML and SQL are not foreign languages ​​for you? Are programming and the development of customer-oriented software applications exactly your thing? Are you tech-savvy, can think logically, are you interested in the latest information technologies and do you like complex IT systems? Then you've come to the right place with the Ecclesia Group! Start your training as an IT specialist in the fields of system integration, application development, data and process analysis. What is important to us? • You have a university entrance qualification in the form of a high school diploma or technical high school diploma with good grades, especially in the main subjects and computer science, or you have an intermediate school leaving certificate with very good grades achieved.• You are a team player, curious, friendly, reliable, sociable, show willingness to learn and motivation.• You are familiar with computers and are interested in new technologies/complex IT systems.• You have already gained initial experience with programming languages. • Logical and analytical thinking suits you! You recognize technical connections.• Your strengths are diligence and independence.• You have good knowledge of MS Office applications. What awaits you• Meaningful, demanding and exciting tasks await you.• You can actively work on projects.• During your During your training, you will be able to design, program, test and document customer-specific software solutions in various programming languages.• You will learn how to administer IT systems and resolve IT malfunctions.• Other tasks include creating user interfaces and developing solutions. What do we offer? you?• We offer you a modern, excellently equipped workplace, a pleasant working atmosphere and integration into a strong team.• With us you get a secure perspective - we train for the further development of our company and would like to take you on after your training. • Your training is practical and is intensively supervised (internal specialist lessons, English lessons, practical projects, regular feedback, etc.) • You gain new perspectives when working in one of our branches such as: E.g. Hamburg, Berlin or Munich.• Together we shape your future and offer individual support and further training according to your preferences.• We offer you flexibility through flexitime regulation of your working hours.• Health promotion, company events and attractive remuneration are among our offers. Ready for new challenges? Get started with the Ecclesia Group. We are looking forward to your application! Earnings during training 1st year1201 €2. Year1278 €3. Year1365 €
4;Training as an IT specialist for digital networking (m/f/d) in 2024 at ARI-Armaturen Albert Richter GmbH & Co. KG in Schloß Holte-Stukenbrock;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-fuer-digitale-vernetzung-m-w-d-in-2024-bei-ari-armaturen-albert-richter-gmbh-co-kg-in-schloss-holte-stukenbrock-fbe8b08f-f224-43a6-b106-b6a4a61acc87/;Middle maturity;;Main tasks and areas of application Are you interested in establishing and maintaining digital connections in the company? As an IT specialist with a focus on digital networking, you also optimize communication between people, machines and systems and are responsible for the maintenance and upkeep of the networks. This training content appeals to you ? We are looking forward to your application! Qualifications You should have the following qualifications: Technical/digital understanding, willingness to communicate, ability to work in a team, flexibility in foreign languages, good grades in mathematics. ARI offers: intensive support and exam preparation in a great team, training opportunities to accompany your training, participation in exciting projects and external competitions, a stay abroad possible if necessary, very good further training opportunities within the framework of our ARI- TalentAkademie Earnings during training according to collective agreement There is (actually) something cool to see here! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.
5;Training as an IT specialist for digital networking (m/f/d) at nobilia-Werke J. Stickling GmbH & Co. KG in Verl;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-digitale-vernetzung-m-w-d-bei-nobilia-werke-j-stickling-gmbh-co-kg-in-verl-2e4358ec-29d6-4acd-abdb-83fa27179b24/;High school diploma;;Training IT specialist (m/f/d) Digital networkingWe are pleased that you are interested in training in our company. During your training you will be specifically prepared for your future working life. Our priority is to take on jobs after training. In addition to the professional and school training framework program, we try to continually develop our trainees and promote team spirit. A team development trip at the beginning of the training, various project work and gaining practical experience in our highly automated and modern production round off our training offering. With the various advantages of a family business, we try to integrate you into your everyday working life as quickly as possible in a motivating way and to win you over as a convinced nobilian in the long term. You will start your 3-year training as an IT specialist (m/f/d) in digital networking on August 1st, 2024. With this training you will lay the best foundation for your future professional life as an IT all-rounder. The basic requirement for this training is a good degree from a higher commercial school, a business or general high school or a secondary school. Very good understanding of numbers, practical skills, good English - coupled with an affinity for IT - round off your profile. With this training you will get to know information technology in all areas of our company. One of your diverse areas of responsibility is networking and optimization of systems and applications, working on the interfaces of such systems. The exchange of network components and physical systems of any kind is one of the tasks. You will learn how to prevent system failures or how to fix them if necessary, or how to protect data from unauthorized access. We will train you to become an IT all-rounder who can advise our employees on all IT issues with training and lots of support. In order to offer you realistic and efficient preparation for professional life, we also apply the “learning by doing” principle, in which you are integrated into our processes right from the start. The theoretical part of your training takes place in a part-time model at Carl-Severing -Vocational college in Bielefeld. So you can enjoy an instructive, exciting and, above all, varied time at nobilia. Interested? Then we look forward to sending you your detailed application, including the last three school reports, directly via our online form: www.nobilia.de Here you can find (actually ) something cool to see! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.
6;Training as an IT specialist - system integration (m/f/d) at MP Energie + Service GmbH in Bielefeld;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-systemintegration-m-w-d-bei-mp-energie-service-gmbh-in-bielefeld-f031ea23-52f3-479d-a979-075260bca0dd/;Not specified;;We are looking for you to start your training in 2024! This is what we offer you: varied training in a healthy and future-oriented company, very good chances of being taken on, a modern and high-quality working environment including a mobile workplace, mobility allowance, company fitness, canteen allowance, discounts through corporate benefits and other attractive employee benefits This is what you bring with you · Great interest in all IT areas - especially in new technologies · Enjoy working with hardware and software as well as the willingness to deal with new developments in these areas · An analytical way of thinking and friendly interaction with people · Curiosity and a lot of fun at work This is what awaits you · You will develop solutions for IT problems and help our colleagues through the challenges of digitalization. · The configuration and commissioning of new systems in virtualized environments as well as client systems are part of your area of ​​responsibility. · You enjoy explaining new functions and introducing them to our customers. · You also like to think outside the box and see potential for optimization in existing processes. · You learn to plan, carry out and document your work independently. Good to knowYou get insight into all company and IT areas and have the opportunity to actively shape your training plan. Do you have any questions? Then it's best to call us directly. Matthias Kubitza would be happy to talk to you without obligation on the following number: 0521/800665-75 (Mon-Fri 9 a.m. to 12 p.m. and Mon and Wed 2 p.m. to 4.30 p.m.). So: what are you waiting for?
7;Start your training with us as an IT specialist (m/f/d) in Lippstadt at NETZkultur Informationssysteme GmbH in Lippstadt;https://www.ausbildung.de/stellen/starte-deine-ausbildung-mit-uns-als-fachinformatiker-m-w-d-in-lippstadt-bei-netzkultur-informationssysteme-gmbh-in-lippstadt-84a87242-67be-4558-b579-5f7d6189325b/;Middle maturity;;Start your training with us as an IT specialist (m/f/d) in Lippstadt Have you decided to start training as an IT specialist (m/f/d) and can you take responsibility that goes beyond ordering pizza? Then with us in Lippstadt you have the chance to enjoy training with a future and a lot of variety. Do you want to find out more about us? You can find out who we are, what makes us special and whether we are a good fit for each other in the job description. Simply click on the application link or go directly to our website www.netzkultur.de
8;Training as an IT specialist at Bertelsmann 2024 (m/f/d) at Bertelsmann SE & Co. KGaA in Gütersloh;https://www.ausbildung.de/stellen/ausbildung-zum-fachinformatiker-bei-bertelsmann-2024-m-w-d-bei-bertelsmann-se-co-kgaa-in-guetersloh-84d42177-1cb3-4fb1-b834-81820909fedf/;high school diploma;;Who are we? Bertelsmann is a media, services and education company that is active in around 50 countries around the world. Would you like to find out more about us? Then find out more on our homepage, our trainee vlog on YouTube or follow our Instagram channel Bertelsmann Beginners. What awaits you? Today, a modern company increasingly needs IT professionals with commercial know-how. As an IT specialist, you acquire and deepen both your IT skills and your business knowledge. Depending on your subject area, your work will focus on different areas. With us you can choose between the following areas of focus: • Application development • System integration • Data and process analysis • Digital networking The IT training is divided into two phases: In the first year you will get to know different IT areas. In the second and third years, you will spend a total of 18 months on a project in a selected group area, in which you can work independently and responsibly in cooperation with trainers. How long will you be trained for? 2.5 years When will you start with us? August 19, 2024 What are you bringing with you? • Enjoy IT topics • Interest in a variety of tasks and committed collaboration in a team • Technical college entrance qualification or general university entrance qualification • Satisfactory performance in the subjects mathematics, German and English Sounds good? Then we look forward to receiving your application! Embark on your personal path to success at Bertelsmann now and apply via our application platform with a cover letter, CV and most recent school certificate. Feel free to tell us about your previous experience in the IT sector or why you are interested in IT in your cover letter or CV. We welcome people who contribute to the diversity of our company. You are also welcome as a career changer. Do you still have questions for us? Then please contact us via WhatsApp: 0170 114 6507 Information obligations regarding the collection of your personal data: Bertelsmann SE &amp Co. KGaA, Carl-Bertelsmann Str. 270, 33311 Gütersloh (“Bertelsmann”) is responsible for the processing of your application data, which is described in this The framework also uses service providers. Bertelsmann processes your data on the basis of Article 6 (1) b of the General Data Protection Regulation (hereinafter referred to as GDPR) and Article 6 (1) f of the GDPR in order to carry out the application and selection process for the Central Training (ZA) on the basis of screening the CV, school certificates and two selection days. You can object to the use of your data at any time with future effect, contact Bertelsmann's data protection officer or assert your rights under the GDPR (in particular to information and deletion) at the above address. Detailed information about the data protection program can be found at www.createyourowncareer.com Why us? • Support from our own training department and individual contacts • Choice between different disciplines and training focuses • Insight into various group companies • Further training and in-depth offers: training, IT workshops, personality seminars and exam preparation • Team building measures such as school trips • All other Bertelsmann Group services such as sports activities , social benefits or discounts for media and lunch
9;Training as an IT specialist (m/f/d) at TEAG Thüringer Energie AG in Erfurt;https://www.ausbildung.de/stellen/ausbildung-als-fachinformatiker-in-m-w-d-bei-teag-thueringer-energie-ag-in-erfurt-2033f291-766d-4dc2-b9bc-8f2b7621e8ad/;Middle maturity;"-1. Year => €1030; 2nd year => €1050; 3rd year => €1150;";Your jobThe boss's computer? Calculate again! Virus updates? Long time recorded! The new server? Just ordered! What's next? Oh yes, the colleague from purchasing needs a new headset. Go over straight away, connect it, configure it – and get praise. As you can see, this job has a lot to offer. Except for boredom, of course. Because as an IT specialist/system integration specialist, after completing your three-year training, you are the man or woman for all IT cases. With us, for example, you will learn how to plan, install and configure IT systems - and what is important when purchasing new hardware. After all, later on you will, among other things, take loving care of server landscapes and use Sherlock Holm-like acumen to track down even the most tricky system errors. You are by no means coding alone in the dark back room, but are also well connected with your colleagues, whom you can help with computer problems etc. directly at work. As a leading energy service provider in Thuringia, we can offer you an exciting job and great future prospects as well as a top working environment: 13th monthly salary, company pension scheme, our own company kindergarten, support in finding a place in a dormitory - all of this and much more is a matter of honor for us. Speaking of which: Our trainees are regularly recognized by the Chamber of Commerce and Industry for outstanding achievements. Maybe you'll soon be one of them too? Your profile Secondary school diploma or high school diploma Good grades in mathematics, physics and English Interest in computer science and technical tasks Ability to think logically Ability to communicate and work in a team Your training 3 years of vocational school is the Andreas Gordon School in Erfurt Training starts in August/September, depending on the school schedule Your employerWe, Thüringer Energie AG, are the leading energy service provider in the Free State of Thuringia. Our main business area is supplying over 500,000 customers with energy – electricity, natural gas and district heating. We were also once again recognized as an “outstanding training company” by the Erfurt Chamber of Commerce and Industry. Earnings during training 1st year1030 €2. Year1050 €3. Year1150 €
10;Training as an IT specialist (m/f/d) at Norddeutsche Landesbank - Girozentrale - in Hanover;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-m-w-d-bei-norddeutsche-landesbank-girozentrale-in-hannover-855e18ba-f511-42eb-bee1-5b6a6b99ea47/;Middle maturity;"-1. Year => €1146; 2nd year => €1208; 3rd year => €1270;";Training as an IT specialist (m/f/d), specializing in application developmentA training that inspires you: Are you interested in how IT and software development work in a bank? As an IT developer, you will learn the basic structure of the bank as well as its procedural and technical processes. You will work with various programming techniques, be involved in application creation and documentation and gain knowledge in the area of ​​our test procedures. You will gain exciting insights into these areas Installation and maintenance of complex IT systems, advising customers and application training You can actively work on many future-oriented projects. Through our diverse range of workshops you can develop not only professionally but also personally. A profile that defines you: You have a technical college entrance qualification , general university entrance qualification or an extended secondary school diploma You have good grades in mathematics and/or computer science You are interested in current IT trends and technology You enjoy dealing with people as well as customers and are service-oriented You are not afraid of communicating in English A working environment that motivates you: Competent care and support throughout the entire training Shaping the future and culture of our bank sustainably Guaranteed employment after training Personal qualification and further development Work at various locations Apply now! Videos and further information at www.nordlb.de Your personal contact Ms. Lena Allers Earnings during the training 1st year1146 €2. Year1208 €3. Year1270 €
