Id;Title;Url;Graduation;Salary;Description
1;Training position as an IT specialist for data and process analysis (x|f|m) at Sartorius in Guxhagen;https://www.ausbildung.de/stellen/ausbildungsplatz-fachinformatiker-fuer-daten-und-prozessanalyse-x-w-m-bei-sartorius-in-guxhagen-80552da9-7fe6-4e55-8cd2-83e358433668/;Not specified;;Training position for IT specialist for data and process analysis (x|f|m) Get started with one of the largest employers in the region and become part of the solution in the fight against diseases worldwide. For Sartorius Stedim Systems GmbH we are looking for you for an IT training as an IT specialist for data and process analysis (x|f|m) at the Guxhagen location. You will learn to digitize business processes and optimize IT processes and qualify yourself for working in international projects. The training begins on August 15, 2024 and lasts 3 years. This is what awaits you: You optimize data-driven processes and digitize business processes You automate tasks, design appropriate solutions, create models and determine processes You implement measures for IT security and data protection You get to know different departments and get directly involved in exciting, often international projects We support you in your exam preparation and in your personal and professional development What convinces us You have good previous IT knowledge and a strong interest in IT You have very good analytical and logical thinking skills You are characterized by flexibility and a structured way of working You work like to work in international teams You have a good knowledge of mathematics, physics and English and are interested in economic topics You benefit from this As an international, listed company, we offer you many advantages: Attractive pay: €1,047|month in the 1st year, €1,129|month in 2nd year, 1,190 €|month in the 3rd year as well as vacation and Christmas bonuses (as of 06/2023) Takeover rate of almost 100% Flexible working hours, 37.5 h|week with flexitime, home office options, 30 days vacation Trainee coach who accompanies you and an exciting week of getting to know each other Modern work area and WiFi throughout the premises A variety of employee discounts, various health offers and discounts at fitness studios Company restaurant with organic and vegan offerings Own laptop, modern training workshop Job ticket, free parking garage and good bus connections, Financial support when moving from a certain distance Family working atmosphere, cohesion and team spirit Would you like to find out more about Sartorius? Then take a look at www.sartorius.de. We are looking forward to your application. You might also be interested in these apprenticeships or dual study programs: Dual study program in computer science (x|f|m) Dual study program in business informatics (x|f|m) IT specialist system integration (x|f|m) IT specialist application development (x|f|m) Earnings during the training according to the collective agreement There is (actually) something cool to see here! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.
2;Training as an IT specialist for data and process analysis (m/f/d) in 2024 at SOLVIANS IT-Solutions GmbH in Göttingen;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-2024-bei-solvians-it-solutions-gmbh-in-goettingen-8dcd756b-15ba-4d6c-b2a8-235b9ecfb509/;Middle maturity;"-1. year => €1100; 2nd year => €1200; 3rd year => €1300;";Solvians IT-Solutions is part of the internationally active WSD Group and stands for professional online services in the financial sector. Well-known large banks and companies from the financial services industry have been our clients for many years. The high level of satisfaction of our customers and the increasing demand for our sophisticated products constantly present us with new challenges. Solvians offers you an exciting environment with varied activities and short decision-making processes. In our modern, growing company you will find the opportunity to contribute and realize your own ideas. A dynamic team and a secure training position with first-class development opportunities await you. Join our great team in Göttingen and apply for training as an IT specialist in data and process analysis (m/f/d) Start: August 1st, 2024 Duration: 3 years (possible to shorten to 2.5 years) Training allowance: 1. Year: €1,100.002. Year: €1,200.003. Year: €1,300.00 What you can expect from us: A 3-year apprenticeship with diverse and interesting data and process analysis projects in the area of ​​software development 100% fun working in an international, motivated and friendly team Constant support from a mentor , who accompanies you through your training Learning the latest technologies in an agile environment Exciting tasks and great creative opportunities Continuous development and taking on a permanent job after training with good performance What you bring with you: Willingness to learn and motivation to work in a committed team Enthusiasm for computer technology, Big Data and programming Fun to analyze and solve complex mathematical-technical tasks A good high school diploma or a good/very good secondary school diploma, (former) students are also very welcome Very good knowledge of English We look forward to receiving your application! Please send us your CV and your certificates. Please use our online form. You can find further information about us and our services on our website www.solvians.com. We are also available to provide you with advance information by telephone. Call us!Contact person: Jan ValenthonEmail: jan.valenthon@solvians.comTel.: +49 69 945188 503Training location:Solvians IT-Solutions GmbHTuchmacherweg 837079 GöttingenPlease address applications to:Solvians IT-Solutions GmbH Speicherstraße 5560327 Frankfurt am Main Earnings during the training 1st year1100 €2. Year1200 €3. Year1300 €
3;Training as an IT specialist for data and process analysis (m/f/d) at HEWI Heinrich Wilke GmbH in Bad Arolsen;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-bei-hewi-heinrich-wilke-gmbh-in-bad-arolsen-59f0c8cb-f78b-49a7-8e21-e8fa36941e2c/;High school diploma;;2024 | IT specialist for data and process analysis (m/f/d)Training duration: 3 yearsYour future begins here!Apply now for your dream training at HEWI and start your professional career!Our team creates the success of the company. Through varied training with insight into all important areas, you will become an important part of HEWI. Vocational school: Commercial schools of the Lahn-Dill district, DillenburgYour area of ​​responsibility Participation in the optimization of data-driven and digital processes Participation in the structuring, preparation and analysis of the constantly Growing amount of data Support in the further development of measures to generally improve data quality IT all-rounder for all IT questions Participation in exciting projects This is what you bring with motivation to develop yourself further and learn new things Enjoy the school subjects math, English and computer science Affinity to IT and A good understanding of numbers Enjoyment of digital innovations and data processes Ability to analyze and work in a team Your areas of application Product data management IT application development IT system support What awaits you Collective agreement training remuneration, Christmas and holiday pay Flexible working hours (38 hours / week) 30 days of holiday and compensatory time off High take-on rate after training Company matters Health management and company pension provision Canteen and free drinking water Team events and training projects Training allowance Training year: €1,020.00/month Training year: €1,062.00/month Training year: €1,129.00/month Career opportunities: Training and further education is very important to us at HEWI. We therefore offer you various options to expand your knowledge and qualifications. After your training, all doors are open to you at HEWI.Contact HEWIMichele KlimekProf.-Bier-Straße 1-534454 Bad Arolsen Tel.: +49 (0)5691 82-455Fax.: +49 (0)5691 82-250
4;Training to become an IT specialist for data and process analysis (m/f/d) in Northeim at THIMM Group GmbH + Co. KG in Northeim;https://www.ausbildung.de/stellen/ausbildung-zum-zur-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-in-northeim-bei-thimm-group-gmbh-co-kg-in-northeim-b6a29c6a-1dcc-4bf2-b30c-a42390ee7db1/;Middle maturity;"-1. year => €1140; 2nd year => €1220; 3rd year => €1300;";Training position for IT specialist for data and process analysis (m/f/d) Do you enjoy working with numbers? Analyzes don't scare you? Do you like working with software and hardware and the topic of digitalization plays a big role in your life? Then training to become an IT specialist for data and process analysis is just right for you! This is what you can do with us. When checking work and business processes, you won't miss any weak points. You will learn how to always find a suitable solution. You digitize business processes and automate tasks. Taking IT security and data protection measures will become a priority for you. You analyze data sources, check who is authorized to use them and then make the data available. This is how you can convince us. You have a middle school qualification in your pocket. You are good at math, computer science and science. You can communicate well in English. Technically, no one can fool you! You know how laptops and smartphones work. You enjoy using digital means of communication to work in a team. What you can look forward to Start your training with extensive onboarding - get to know THIMM and the other trainees. You will be accompanied by professionally and personally qualified trainers. You will be provided with a trainee mentor to answer your questions. Coordinate the progress of your training in feedback discussions. Get your own equipment with a laptop and headset. You will be supported in your exam preparation to become an IT specialist through teaching discussions or workshops. You have the opportunity to obtain the additional qualification as a European merchant (m/f/d) with a three-week stay abroad. Optionally, you can even become an IHK training ambassador. Exciting trainee events and joint activities with trainees from all locations await you. At the end of your training, you have very good chances of being taken on and prospects for your future career path. Have we made you curious? Then please send us your complete application including cover letter, CV and certificates. We are looking forward to your application! Earnings during training 1st year1140 €2. Year1220 €3. Year1300 €
5;Training as an IT specialist for data and process analysis (m/f/d) in 2024 at ARI-Armaturen Albert Richter GmbH & Co. KG in Schloß Holte-Stukenbrock;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-in-2024-bei-ari-armaturen-albert-richter-gmbh-co-kg-in-schloss-holte-stukenbrock-53940fb5-f91b-4995-b78c-ff3527395e2e/;Middle maturity;;Main tasks and areas of application Are you interested in the analysis of information technology work and business processes as well as in the provision of data sources in order to derive operational measures to improve and optimize data quality in the company? Then we look forward to receiving your application! Qualifications You should have the following qualifications: high level of comprehension, analytical thinking, ability to work in a team, good grades in mathematics, English and German. ARI offers: intensive support and exam preparation, participation in exciting projects, training measures accompanying your training as part of the ARI Talent Academy, participation in inter-company competitions, very good opportunities for employment and further training the training according to the collective agreement There is (actually) something cool to see here! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.
6;Training as an IT specialist for data and process analysis (m/f/d) at nobilia-Werke J. Stickling GmbH & Co. KG in Verl;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-bei-nobilia-werke-j-stickling-gmbh-co-kg-in-verl-526060ae-2e0e-4f41-87f0-d2796ac94a1c/;High school diploma;;Training IT specialist (m/f/d) data and process analysisWe are pleased that you are interested in training in our company. During your training you will be specifically prepared for your future working life. Our priority is to take on jobs after training. In addition to the professional and school training framework program, we try to continually develop our trainees and promote team spirit. A team development trip at the beginning of the training, various project work and gaining practical experience in our highly automated and modern production round off our training offering. With the various advantages of a family business, we try to integrate you into your everyday working life as quickly as possible in a motivating way and to win you over as a convinced nobilian in the long term. You will start your 3-year training as an IT specialist (m/f/d) in data and process analysis on August 1st, 2024. With this training you will lay the best foundation for your future professional life as an IT all-rounder. The basic requirement for this training is a good degree from a higher commercial school, a business or general high school or a secondary school. Very good understanding of numbers, practical skills, good English - coupled with an affinity for IT - round off your profile. With this training you will get to know information technology in all areas of our company. One of your diverse areas of responsibility is working with IT technical solutions for data-based, digital production and business processes. You identify the various data sources and categorize them and develop measures to generally improve data quality. We will train you to become an IT all-rounder who can advise our employees on all IT issues with training and lots of support. In order to offer you realistic and efficient preparation for professional life, we also apply the “learning by doing” principle, in which you are integrated into our processes right from the start. The theoretical part of your training takes place in a part-time model at Carl-Severing -Vocational college in Bielefeld. So you can enjoy an instructive, exciting and, above all, varied time at nobilia. Interested? Then we look forward to sending you your detailed application, including the last three school reports, directly via our online form: www.nobilia.de Here you can find (actually ) something cool to see! This is a placeholder for video content from YouTube. Curious? Then unlock the content now. Yes, I allow external content from YouTube. I agree that the external content can be displayed to me. Personal data may be transmitted to third-party platforms. More information can be found in the data protection declaration.
7;IT specialist for data and process analysis (m/f/d) (start 2024) at Bechtle AG in Gütersloh;https://www.ausbildung.de/stellen/fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-start-2024-bei-bechtle-ag-in-guetersloh-be50e486-cb0d-4f69-8fba-2510b53d22f6/;Middle maturity;;Searched and found. With us you will find your professional home and a future-proof job. In a company that has been growing successfully for 25 years. Where you can develop yourself and be valued. Which is also reflected in your remuneration and additional benefits. Find exciting tasks that you are passionate about in order to help your customers advance. And to move forward yourself. With and at MODUS Consult. Here you make a difference: Your training starts on August 1, 2024. Your contribution is important to us, so you will be involved in day-to-day business from the very beginning. The focus of your training? You create IT structures and ensure that important interfaces in the company are networked. Do you think there is always something to optimize? Perfect, because with us you take care of the constant optimization of our networks and applications. What a typical week looks like for you? You will be in the company for around 3.5 days and at the vocational school for 1.5 days. This is how you score points: You have completed a technical college entrance qualification, a good secondary school leaving certificate or are about to graduate. Do you enjoy IT and digital innovations? Perfect. Would you like to be an important contact when it comes to helping people with IT problems? Then your path with us is paved for you. Do you have an open nature and work independently? This is exactly the mix we are looking for. Do you understand customers and love team spirit? Terrific. We offer more for you: Your remuneration? Above average and attractive! Depending on the year of training, up to 1,350 euros per month. Networking: Use our introductory event, the trainee camp or many other events to exchange ideas with other trainees. We offer you prospects: Your chances of being taken on are very good after successful completion. You are not alone: ​​In addition to your individual sponsor, you are in a strong team that loves and lives appreciation and connection. Your workplace: Modern technical equipment including your own laptop.
8;Training as an IT specialist for data and process analysis (m/f/d) at betzemeier automotive software GmbH & Co. KG in Minden (Westf);https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-bei-betzemeier-automotive-software-gmbh-co-kg-in-minden-westf-82f1ac7b-a8a6-4c71-ab10-82114428d8c1/;High school diploma;;Your benefits: responsibility and freedom! You will become a fully-fledged team member early on and benefit from flat hierarchies and communication at eye level. Security and future! With us you have a secure and permanent job in a sustainably growing family business. Work-life balance! In addition to 30 days of vacation, we offer you the opportunity to organize yourself through flexible working hours and hybrid working. With us to the top! There are individual and needs-oriented training and development opportunities here so that we can continue to improve together. Teamwork! Partnership in a motivated team with joint after work events, health prevention and regular team events. Shared commitment! You have the chance to get socially involved with us at the Charlotte Betzemeier Foundation and work on sustainable projects. Your skills: You are motivated and enjoy your work, are curious and enthusiastic about new technologies. You are a doer and are ready to learn and grow with new challenges. You work with a conceptual and analytical mindset. You are a team player and have a high level of social and communicative understanding. Your area of ​​responsibility: You will learn how to analyze work and business processes. You learn to test and document applications. You learn to plan and manage projects. Your qualifications: You have successfully completed a high school diploma or technical high school diploma. You are interested in computer science and complex IT systems. You have good knowledge of German and English. You want to get started in the IT sector, but are faced with an important decision: training or studying? Then we have the answer for you. As a family business with over 85 employees, we offer you the best conditions to lay the foundation for your professional career with training. From day 1 you are not an apprentice with us, but a colleague and get involved!
9;IT specialist (m/f/d) for data and process analysis at AUGUST STORCK KG in Halle (Westphalia);https://www.ausbildung.de/stellen/fachinformatiker-m-w-d-fuer-daten-und-prozessanalyse-bei-august-storck-kg-in-halle-westf-ed1649f6-3d1c-4a71-ba2d-2fdbe7338a0a/;Middle maturity;;IT specialist (m/f/d) for data and process analysisThe internationally operating Storck Group is one of the largest companies in the global chocolate and sugar confectionery market. Our major brands are already successful in over 100 countries. Every day, our more than 7,000 employees take on the task of making the world a little sweeter, competently and passionately. We look forward to colleagues who want to continue to grow with us and our brands. As of August 1st, 2024, we are looking for a trainee (m/f/d) as an IT specialist (m/f) for our 3-year training at the Halle (Westphalia) location. f/d) for data and process analysisYour main tasks Collaboration in (IT) projects Processing process improvements Analysis of various data sources Collaboration in the specialist departments and optimization of business processes Creating documentation Producing and maintaining system solutions Setting up and administering networks System conﬁguration and administration Error analysis and troubleshooting Service /Provide support Your qualifications At least a high school diploma Knowledge of Microsoft Office applications and the usual PC hardware/software components Programming knowledge is an advantage Good language skills (German and English) High interest in information technology Analytical and logical way of thinking as well as the ability to abstract High motivation and willingness to perform A sense of responsibility Independence & team spirit Open-mindedness in dealing with people What we offer you For a good start to your professional life, sound professional training is just as important to us as the best possible support for our trainees. That's why our young talents benefit from above-average additional services such as seminars for personal and professional development, individual exam preparation and much more. Have we aroused your interest? Then we look forward to receiving your online application via www.storck.de. Earnings during training according to collective agreement
10;Training as an IT specialist for data and process analysis (m/f/d) at Sonepar Deutschland GmbH in Holzwickede;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-bei-sonepar-deutschland-gmbh-in-holzwickede-fc536986-e1e8-4d3b-81b1-cdb66602304c/;High school diploma;;Trainee IT specialist for data and process analysis (m/f/d) For the start of the training on August 1st, 2024, we are looking for a trainee (m/f/d) as an IT specialist specializing in data and process analysis for our company Sonepar Deutschland Information Services GmbH at the Holzwickede location (m/f/d) This is what you will learn in the training: • Knowledge and skills in the areas of information and telecommunications systems • Analyzing work and business processes and presenting results in the form of reports • Creating databases • Process modeling and process optimization, as well as quality assurance carry out• Development of customer-specific application solutions, i.e. H. Customer-specific adjustments and software maintenance as well as software-based presentations and technical marketing• Project planning, implementation and control, as well as quality assurance• Use of the entire range of current information and communication technology up to multimedia applications in technical and commercial areas of application• Getting to know the business and work organization contexts • Consideration of data protection and data security What you bring with you: • University entrance qualification or high school diploma with good grades in the subjects mathematics, German, English, computer science and economics • Enthusiasm and curiosity for all forms of technology and how they work • Interest in programming programs • Good Computer skills and technical understanding • Ability to work in a team, independence and reliability • Enjoy logical thinking This is what we offer you: • A modern, versatile and interesting training position in a successful company • An attractive training allowance (pay according to tariff) • 30 days of vacation • Capital-forming benefits • Company pension plan • Coverage of costs of school books• Covering the cost of public transport tickets• Various exciting “trainee events”, e.g. E.g. the trainee welcome days at the beginning of the training • Regular internal and external training • Covering the costs of exam preparation for your final exam Part II • Good chances of being taken on after the training • If your training performance is good, the possibility of shortening the training Are you interested? Then send us your complete application documents (cover letter, CV in tabular form, copies of certificates, etc.), which leave us no choice but to invite you. Please use our career portal quickly and easily. Earnings during training according to collective agreement
