Id;Title;Url;Graduation;Salary;Description
1;Ausbildungsplatz Fachinformatiker für Daten- und Prozessanalyse (x|w|m) bei Sartorius in Guxhagen;https://www.ausbildung.de/stellen/ausbildungsplatz-fachinformatiker-fuer-daten-und-prozessanalyse-x-w-m-bei-sartorius-in-guxhagen-80552da9-7fe6-4e55-8cd2-83e358433668/;Keine Angabe;-;Ausbildungsplatz Fachinformatiker für Daten- und Prozessanalyse (x|w|m)Starte durch bei einem der größten Arbeitgeber der Region und werde Teil der Lösung im Kampf gegen Krankheiten weltweit. Für die Sartorius Stedim Systems GmbH suchen wir dich für eine IT Ausbildung als Fachinformatiker für Daten- und Prozessanalyse (x|w|m) am Standort Guxhagen. Du lernst Geschäftsprozesse zu digitalisieren und IT-Prozesse zu optimieren und qualifizierst dich für die Arbeit in internationalen Projekten. Die Ausbildung beginnt am 15.08.2024 und dauert 3 Jahre. Das erwartet dich Du optimierst datengesteuerte Prozesse und digitalisierst Geschäftsprozesse Du automatisierst Aufgaben, konzipierst entsprechende Lösungen, erstellst Modelle und ermittelst Prozesse Du implementierst Maßnahmen zur IT-Sicherheit und zum Datenschutz Du lernst unterschiedliche Abteilungen kennen und steigst direkt in spannende, oft auch internationale Projekte ein Wir unterstützen dich bei der Prüfungsvorbereitung und bei deiner persönlichen und fachlichen Entwicklung Was uns überzeugt Du bringst gute IT-Vorkenntnisse und ein ausgeprägtes IT-Interesse mit Du verfügst über ein sehr gutes analytisches und logisches Denkvermögen Du zeichnest dich durch Flexibilität und eine strukturierte Arbeitsweise aus Du arbeitest gern in internationalen Teams Du hast gute Kenntnisse in Mathematik, Physik und Englisch und interessierst dich für Wirtschaftsthemen Davon profitierst du Als internationales, börsennotiertes Unternehmen bieten wir dir viele Vorteile: Attraktive Bezahlung: 1.047 €|Monat im 1. Jahr, 1.129 €|Monat im 2. Jahr, 1.190 €|Monat im 3. Jahr sowie Urlaubs- und Weihnachtsgeld (Stand 06/2023) Übernahme-Quote von fast 100% Flexible Arbeitszeitgestaltung, 37,5 h|Woche mit Gleitzeit, Home Office-Möglichkeiten, 30 Tage Urlaub Azubi-Coach, der dich begleitet und eine spannende Kennenlernwoche Moderner Arbeitsbereich und WLAN auf dem gesamten Gelände Eine Vielzahl an Mitarbeiterrabatten, verschiedene Gesundheitsangebote und Vergünstigungen bei Fitnessstudios Betriebsrestaurant mit Bio- und veganem Angebot Eigener Laptop, moderne Ausbildungswerkstatt Jobticket, kostenfreies Parkhaus und gute Busanbindungen, finanzielle Unterstützung beim Umzug ab einer bestimmten Entfernung Familiäres Arbeitsklima, Zusammenhalt und Teamspirit Du möchtest noch mehr über Sartorius erfahren? Dann schau auf www.sartorius.de vorbei. Wir freuen uns auf deine Bewerbung. Diese Ausbildungsberufe oder duale Studiengänge könnten dich auch interessieren: Duales Studium Informatik (x|w|m) Duales Studium Wirtschaftsinformatik (x|w|m) Fachinformatiker Systemintegration (x|w|m) Fachinformatiker Anwendungsentwicklung (x|w|m) Verdienst während der Ausbildung nach Tarifvertrag Hier gibt es (eigentlich) was Cooles zu sehen! Das hier ist ein Platzhalter für Video-Content von YouTube. Neugierig? Dann schalte die Inhalte jetzt frei. Ja, ich erlaube die externen Inhalte von YouTube. Ich bin damit einverstanden, dass mir die externen Inhalte angezeigt werden. Personenbezogene Daten können an Drittplattformen übermittelt werden. Mehr Infos gibt es in der Datenschutzerklärung.
2;Ausbildung Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d) 2024 bei SOLVIANS IT-Solutions GmbH in Göttingen;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-2024-bei-solvians-it-solutions-gmbh-in-goettingen-8dcd756b-15ba-4d6c-b2a8-235b9ecfb509/;Mittlere Reife;"-1. Jahr => 1100 €; 2. Jahr => 1200 €; 3. Jahr => 1300 €; ";Solvians IT-Solutions ist Teil der international tätigen WSD Group und steht für professionelle Online-Dienstleistungen im Finanzbereich. Namhafte große Banken und Unternehmen aus der Finanzdienstleistungsbranche zählen seit vielen Jahren zu unseren Auftraggebern. Die hohe Zufriedenheit unserer Kunden und die steigende Nachfrage nach unseren anspruchsvollen Produkten stellen uns vor immer neuen Herausforderungen.Solvians bietet Dir ein spannendes Umfeld mit abwechslungsreichen Tätigkeiten und kurzen Entscheidungswegen. In unserem modernen, wachsenden Unternehmen findest Du die Gelegenheit, eigene Ideen einzubringen und zu verwirklichen. Es erwarten Dich ein dynamisches Team sowie ein sicherer Ausbildungsplatz mit erstklassigen Entwicklungsmöglichkeiten.Komm in unser großartiges Team in Göttingen und bewirb dich für eine Ausbildung alsFachinformatiker/-in Daten- und Prozessanalyse (m/w/d)Beginn: 1. August 2024Dauer: 3 Jahre (ggf. Verkürzung auf 2,5 Jahre möglich)Ausbildungsvergütung:1. Jahr: 1.100,00 €2. Jahr: 1.200,00 €3. Jahr: 1.300,00 €Was Dich bei uns erwartet: Eine 3-jährige Ausbildung mit vielseitigen und interessanten Daten und Prozessanalyse-Projekte im Bereich der Software-Entwicklung 100% Spaß am Arbeiten in einem internationalen, motivierten und sympathischen Team Stetige Unterstützung durch einen Mentor, der Dich durch die Ausbildung begleitet Erlernen der neusten Technologien im agilen Umfeld Spannende Aufgaben und große Gestaltungsmöglichkeiten Kontinuierliche Weiterentwicklung und Übernahme in ein festes Arbeitsverhältnis nach der Ausbildung bei guter Leistung Was Du mitbringst: Lernbereitschaft und Motivation in einem engagierten Team mitzuwirken Begeisterung für Computertechnik, Big Data und Programmieren Spaß komplexe mathematisch-technische Aufgaben zu analysieren und zu lösen Ein gutes Abitur oder einen guten/sehr guten Realschulabschluss, (Ex-)Studierende sind ebenso sehr willkommen Sehr gute Kenntnisse im Englischen Wir freuen uns über Deine Bewerbung! Bitte schicke uns Deinen Lebenslauf und Deine Zeugnisse zu. Bitte nutze dazu unser Online-Formular.Weitere Informationen zu uns und unseren Dienstleistungen findest Du auf unserer Website www.solvians.com. Wir stehen Dir für Vorabauskünfte auch telefonisch zur Verfügung. Ruf uns an!Ansprechpartner: Jan ValenthonE-Mail: jan.valenthon@solvians.comTel.: +49 69 945188 503Ausbildungsstelle:Solvians IT-Solutions GmbHTuchmacherweg 837079 GöttingenBewerbungen bitte addressieren an:Solvians IT-Solutions GmbHSpeicherstraße 5560327 Frankfurt am Main Verdienst während der Ausbildung 1. Jahr1100 €2. Jahr1200 €3. Jahr1300 €
3;Ausbildung Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d) bei HEWI Heinrich Wilke GmbH in Bad Arolsen;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-bei-hewi-heinrich-wilke-gmbh-in-bad-arolsen-59f0c8cb-f78b-49a7-8e21-e8fa36941e2c/;Fachabitur;-;2024 | Fachinformatiker für Daten- und Prozessanalyse (m/w/d)Ausbildungsdauer: 3 JahreDeine Zukunft beginnt hier!Bewirb dich jetzt für Deine Traum-Ausbildung bei HEWI und beginne deine berufliche Karriere!Unser Team schafft den Erfolg des Unternehmens. Durch eine abwechslungsreiche Ausbildung mit Einblick in alle wichtigen Bereiche wirst du ein wichtiger Teil von HEWI.Berufsschule: Gewerbliche Schulen des Lahn-Dill-Kreises, DillenburgDein Aufgabenbereich Mitarbeit an der Optimierung von datengesteuerten und digitalen Prozessen Mitwirken bei der Strukturierung, Aufbereitung und Analyse der stetig wachsenden Datenmenge Unterstützen bei der Weiterentwicklung von Maßnahmen zur allgemeinen Verbesserung der Datenqualität IT-Allrounder für sämtliche EDV-Fragen Mitarbeit in spannenden Projeken Das bringst Du mit Motivation, Dich weiterzuentwickeln und Neues zu lernen Spaß an den Schulfächern Mathe, Englisch und Informatik Affinität zur IT und ein gutes Zahlenverständnis Freude an digitalen Innovationen und Datenprozessen Analyse- und Teamfähigkeit Deine Einsatzbereiche Produktdatenmanagement IT-Anwendungsentwicklung IT-Systembetreuung Das erwartet Dich Tarifvertragliche Ausbildungsvergütung, Weihnachts- und Urlaubsgeld Flexible Arbeitszeiten (38 Stunden / Woche) 30 Tage Urlaub und Freizeitausgleich Hohe Übernahmequote nach Ausbildung Betriebliches Gesundheitsmanagement und betriebliche Altersvorsorge Kantine und kostenloses Trinkwasser Teamevents und Ausbildungsprojekte Ausbildungsvergütung Ausbildungsjahr: 1.020,00 €/Monat Ausbildungsjahr: 1.062,00 €/Monat Ausbildungsjahr: 1.129,00 €/Monat Karrieremöglichkeiten: Die Aus- und Weiterbildung ist uns bei HEWI sehr wichtig. Daher bieten wir Dir unterschiedliche Möglichkeiten an, um Dein Wissen und Deine Qualifikationen zu erweitern. Nach deiner Ausbildung stehen Dir bei HEWI alle Türen offen.Kontakt zu HEWIMichele KlimekProf.-Bier-Straße 1-534454 Bad Arolsen Tel.: +49 (0)5691 82-455Fax.: +49 (0)5691 82-250
4;Ausbildung zum/ zur Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d) in Northeim bei THIMM Group GmbH + Co. KG in Northeim;https://www.ausbildung.de/stellen/ausbildung-zum-zur-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-in-northeim-bei-thimm-group-gmbh-co-kg-in-northeim-b6a29c6a-1dcc-4bf2-b30c-a42390ee7db1/;Mittlere Reife;"-1. Jahr => 1140 €; 2. Jahr => 1220 €; 3. Jahr => 1300 €; ";Ausbildungsplatz Fachinformatiker*in für Daten- und Prozessanalyse (m/w/d)Du hast Freude am Umgang mit Zahlen? Analysen schrecken dich nicht ab? Du befasst dich gerne mit Soft- und Hardware und das Thema Digitalisierung spielt eine große Rolle in deinem Leben? Dann ist die Ausbildung zum/zur Fachinformatiker:in für Daten- und Prozessanalyse genau das Richtige für dich! Das kannst du bei uns bewegen Beim Prüfen von Arbeits- und Geschäftsprozesse entgeht dir keine Schwachstelle. Du lernst, wie sich immer eine passende Lösung finden lässt. Du digitalisierst Geschäftsprozesse und automatisierst Aufgaben. Das Ergreifen von Maßnahmen zur IT-Sicherheit und zum Datenschutz werden für dich zu einer Priorität. Du analysierst Datenquellen, prüfst, wer berechtigt ist, diese zu verwenden und stellst die Daten anschließend bereit. Damit kannst du uns überzeugen Den mittleren Bildungsabschluss hast du in der Tasche. Du bist gut in Mathematik, Informatik und Naturwissenschaften. Du kannst dich gut in englischer Sprache verständigen. Technisch macht dir keiner etwas vor! Du weißt, wie Laptop und Smartphone funktionieren. Du nutzt gern digitale Kommunikationsmittel um im Team zu arbeiten. Darauf kannst du dich freuen Starte deine Ausbildung mit einem umfangreichen Onboarding - lerne THIMM und die anderen Azubis kennen. Du wirst von fachlich und persönlich qualifizierten Ausbilder:innen begleitet. Für deine Fragen bekommst du eine/n Azubi-Pat:in zur Seite gestellt. Stimme den Verlauf deiner Ausbildung in Feedbackgesprächen ab. Erhalte deine eigene Ausstattung mit Laptop und Headset. Du wirst durch Lehrgespräche oder Werkunterricht bei deiner Prüfungsvorbereitung zum/zur Fachinformatiker:in unterstützt. Du hast die Möglichkeit, die Zusatzqualifikation zum/zur Europakaufmann/-frau (m/w/d) mit drei-wöchigem Auslandsaufenthalt zu erlangen. Optional kannst du sogar IHK-Ausbildungsbotschafter:in werden. Spannende Azubi-Events und gemeinsame Aktivitäten mit den Azubis aller Standorte erwarten dich. Am Ende deiner Ausbildung hast du sehr gute Übernahmechancen und Perspektiven für deinen weiteren Karriereweg. Haben wir dich neugierig gemacht?Dann sende uns bitte deine vollständige Bewerbung inklusive Anschreiben, Lebenslauf und Zeugnissen. Wir freuen uns auf deine Bewerbung! Verdienst während der Ausbildung 1. Jahr1140 €2. Jahr1220 €3. Jahr1300 €
5;Ausbildung Fachinformatiker für Daten- und Prozessanalyse (m/w/d) in 2024 bei ARI-Armaturen Albert Richter GmbH & Co. KG in Schloß Holte-Stukenbrock;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-in-2024-bei-ari-armaturen-albert-richter-gmbh-co-kg-in-schloss-holte-stukenbrock-53940fb5-f91b-4995-b78c-ff3527395e2e/;Mittlere Reife;-;Aufgabenschwerpunkte und EinsatzgebieteDu interessierst Dich für die Analyse von informationstechnischen Arbeits- und Geschäftsprozessen sowie für die Bereitstellung von Datenquellen, zwecks Ableitung von betrieblichen Maßnahmen zur Verbesserung und Opti-mierung der Datenqualität im Unternehmen?Dann freuen wir uns auf Deine Bewerbung! QualifikationenFolgende Qualifikationen solltest Du mitbringen: hohe Auffassungsgabe Analytisches Denken Teamfähigkeit gute Noten in Mathematik, Englisch und Deutsch ARI bietet: intensive Betreuung und Prüfungsvorbereitung Mitarbeit in spannenden Projekten ausbildungsbegleitende Schulungsmaßnahmen im Rahmen der ARI-TalentAkademie Teilnahme an überbetrieblichen Wettbewerben sehr gute Übernahme- und Weiterbildungsmöglichkeiten Verdienst während der Ausbildung nach Tarifvertrag Hier gibt es (eigentlich) was Cooles zu sehen! Das hier ist ein Platzhalter für Video-Content von YouTube. Neugierig? Dann schalte die Inhalte jetzt frei. Ja, ich erlaube die externen Inhalte von YouTube. Ich bin damit einverstanden, dass mir die externen Inhalte angezeigt werden. Personenbezogene Daten können an Drittplattformen übermittelt werden. Mehr Infos gibt es in der Datenschutzerklärung.
6;Ausbildung Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d) bei nobilia-Werke J. Stickling GmbH & Co. KG in Verl;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-bei-nobilia-werke-j-stickling-gmbh-co-kg-in-verl-526060ae-2e0e-4f41-87f0-d2796ac94a1c/;Fachabitur;-;Ausbildung Fachinformatiker (m/w/d) Daten- und ProzessanalyseWir freuen uns, dass Sie sich für eine Ausbildung in unserem Hause interessieren. Während Ihrer Ausbildung werden Sie gezielt auf das spätere Arbeitsleben vorbereitet. Die Übernahme nach der Ausbildung steht bei uns im Vordergrund. Neben dem beruflichen sowie schulischen Ausbildungsrahmenprogramm versuchen wir unsere Auszubildenden stetig weiterzuentwickeln und den Teamgedanken zu fördern. Eine Teamentwicklungsfahrt zu Beginn der Ausbildung, verschiedene Projektarbeiten und das praktische Sammeln von Erfahrungen in unserer hochautomatisierten sowie modernen Fertigung runden unser Ausbildungsangebot ab. Mit unterschiedlichsten Vorzügen eines Familienunternehmens versuchen wir Sie schnellstmöglich motivierend in den Berufsalltag zu integrieren und langfristig als überzeugte nobilianer zu gewinnen.Sie starten Ihre 3-jährige Ausbildung zum Fachinformatiker (m/w/d) Daten- und Prozessanalyse am 01.08.2024. Mit dieser Ausbildung legen Sie den besten Grundstein für Ihr künftiges Berufsleben als IT-Allrounder. Grundvoraussetzung für diese Ausbildung ist der gute Abschluss einer Höheren Handelsschule, eines Wirtschafts- oder allgemeinen Gymnasiums oder der Realschule. Sehr gutes Zahlenverständnis, praktisches Geschick, gutes Englisch - gepaart mit einer Affinität zur IT - runden Ihr Profil ab.Mit dieser Ausbildung lernen Sie die Informationstechnik in allen Bereichen unseres Unternehmens kennen. Einer Ihrer vielseitigen Aufgabengebiete ist die Beschäftigung mit IT-technischen Lösungen für datenbasierte, digitale Produktions- und Geschäftsprozesse. Sie identifizieren die verschiedenen Datenquellen und kategorisieren diese, entwickeln Maßnahmen zur allgemeinen Verbesserung der Datenqualität. Wir bilden Sie zu einem IT-Allrounder aus, der unsere Mitarbeiter mit Schulungen und viel Unterstützung in sämtlichen EDV-Fragen beraten kann. Um Ihnen eine realistische und effiziente Vorbereitung auf das Berufsleben zu bieten, gilt bei uns auch hier das Prinzip „learning by doing“, bei dem Sie von Anfang an in unsere Abläufe integriert werden.Der theoretische Teil Ihrer Ausbildung erfolgt im Teilzeitmodell am Carl-Severing-Berufskolleg in Bielefeld. Somit genießen Sie eine lehrreiche, spannende und insbesondere abwechslungsreiche Zeit im Hause nobilia.Interessiert?Dann freuen wir uns auf die Zusendung Ihrer aussagekräftigen Bewerbung inklusive der letzten drei Schulzeugnisse gern direkt über unser Online-Formular:www.nobilia.de Hier gibt es (eigentlich) was Cooles zu sehen! Das hier ist ein Platzhalter für Video-Content von YouTube. Neugierig? Dann schalte die Inhalte jetzt frei. Ja, ich erlaube die externen Inhalte von YouTube. Ich bin damit einverstanden, dass mir die externen Inhalte angezeigt werden. Personenbezogene Daten können an Drittplattformen übermittelt werden. Mehr Infos gibt es in der Datenschutzerklärung.
7;Fachinformatiker für Daten- und Prozessanalyse (m/w/d) (Start 2024) bei Bechtle AG in Gütersloh;https://www.ausbildung.de/stellen/fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-start-2024-bei-bechtle-ag-in-guetersloh-be50e486-cb0d-4f69-8fba-2510b53d22f6/;Mittlere Reife;-;Gesucht und gefunden. Bei uns findest du deine berufliche Heimat und einen zukunftssicheren Arbeitsplatz. In einem Unternehmen, das seit 25 Jahren erfolgreich wächst. Wo du dich selbst entwickeln kannst und wertgeschätzt wirst. Was sich auch in deiner Vergütung und durch Zusatzleistungen ausdrückt. Finde spannende Aufgaben, die du mit Leidenschaft lösen, um deine Kunden weiterzubringen. Und selbst weiterzukommen. Mit und bei MODUS Consult. Hier bewegst du etwas: Deine Ausbildung startet am 1. August 2024. Dein Beitrag ist uns wichtig, daher bist du von Anfang an in das Tagesgeschäft miteingebunden. Mittelpunkt deiner Ausbildung? Du legst IT-Strukturen an und sorgst dafür, dass wichtige Schnittstellen im Unternehmen vernetzt werden. Du findest, es gibt immer etwas zu optimieren? Perfekt, denn bei uns kümmerst du dich um die stetige Optimierung unserer Netzwerke und Anwendungen. Wie eine typische Woche für dich aussieht? Du bist etwa 3,5 Tage im Unternehmen und 1,5 Tage in der Berufsschule. Damit punktest du: Du hast eine abgeschlossene Fachhochschulreife, eine gute mittlere Reife oder stehst kurz vor deinem Abschluss. Du hast Spaß an IT und digitalen Innovationen? Perfekt. Du möchtest ein wichtiger Ansprechpartner sein, wenn es darum geht, Menschen bei IT-Problem zu helfen? Dann ist dein Weg bei uns für dich geebnet. Du hast eine offene Art und arbeitest selbstständig? Genau diesen Mix suchen wir. Du bist Kundenversteher und liebst den Teamspirit? Hervorragend. Wir bieten mehr für dich: Deine Vergütung? Überdurchschnittlich und attraktiv! Je nach Ausbildungsjahr bis zu 1.350 Euro im Monat. Networking: Nutze unsere Einführungsveranstaltung, das Azubi Camp oder viele weitere Events, um dich mit anderen Azubis auszutauschen. Wir bieten dir Perspektiven: Deine Übernahmechancen stehen nach erfolgreichem Abschluss sehr gut. Du bist nicht allein: Neben deinem individuellen Paten, bist du in einem starken Team, das Wertschätzung und Verbundenheit liebt und lebt. Dein Workplace: Moderne technische Ausstattung inkl. eigenem Laptop.
8;Ausbildung Fachinformatiker für Daten- und Prozessanalyse (m/w/d) bei betzemeier automotive software GmbH & Co. KG in Minden (Westf);https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-bei-betzemeier-automotive-software-gmbh-co-kg-in-minden-westf-82f1ac7b-a8a6-4c71-ab10-82114428d8c1/;Fachabitur;-;Deine Benefits: Verantwortung und Freiheit! Du wirst früh ein vollwertiges Teammitglied und profitierst von flachen Hierarchien und Kommunikation auf Augenhöhe. Sicherheit und Zukunft! Bei uns hast du einen sicheren und unbefristeten Arbeitsplatz in einem nachhaltig wachsenden Familienunternehmen. Work-Life-Balance! Neben 30 Tagen Urlaub bieten wir dir die Möglichkeit, dich durch flexible Arbeitszeiten und hybrides Arbeiten selbst zu organisieren. Mit uns an die Spitze! Hier gibt es individuelle und bedarfsorientierte Weiterbildungs- und Entwicklungsmöglichkeiten, damit wir gemeinsam immer besser werden. Teamwork! Partnerschaftliches Miteinander in einem motivierten Team mit gemeinsamen After Work-Veranstaltungen, Gesundheitsprävention sowie regelmäßigen Teamevents. Gemeinsames Engagement! Du hast die Chance, dich gemeinsam mit uns in der Charlotte Betzemeier Stiftung sozial zu engagieren und an nachhaltigen Projekten zu arbeiten. Deine Kompetenzen: Du bringst Motivation und Spaß an der Arbeit mit, bist wissbegierig und lässt dich von neuen Technologien begeistern. Du bist ein Macher und bist bereit zu lernen und an neuen Herausforderungen zu wachsen. Du arbeitest mit einer konzeptionellen und analytischen Denkweise. Du bist ein Teamplayer und verfügst über ein hohes soziales und kommunikatives Verständnis. Dein Aufgabenbereich: Du lernst das Analysieren von Arbeits- und Geschäftsprozessen. Du lernst Anwendungen zu testen und zu dokumentieren. Du lernst Projekte zu planen und zu managen. Deine Qualifikationen: Du hast ein erfolgreich abgeschlossenes Abitur oder Fachabitur. Du hast Interesse an Informatik und komplexen IT-Systemen. Du besitzt gute Deutsch- und Englischkenntnisse. Du möchtest im IT-Bereich durchstarten, stehst aber vor einer wichtigen Entscheidung: Ausbildung oder Studium? Dann haben wir die Antwort für dich. Als Familienunternehmen mit unseren über 85 Mitarbeitern bieten wir dir die besten Voraussetzungen mit einer Ausbildung den Grundstein für deine berufliche Karriere zu legen. Ab Tag 1 bist du bei uns kein Azubi, sondern ein/e Kollege/in und packst mit an!
9;Fachinformatiker (m/w/d) für Daten- und Prozessanalyse bei AUGUST STORCK KG in Halle (Westf.);https://www.ausbildung.de/stellen/fachinformatiker-m-w-d-fuer-daten-und-prozessanalyse-bei-august-storck-kg-in-halle-westf-ed1649f6-3d1c-4a71-ba2d-2fdbe7338a0a/;Mittlere Reife;-;Fachinformatiker (m/w/d) für Daten- und ProzessanalyseDie international agierende Storck Gruppe zählt zu den größten Unternehmen im weltweiten Markt der Schokoladen- und Zuckerwaren. Schon heute sind unsere großen Marken in über 100 Ländern erfolgreich. Jeden Tag stellen sich unsere mehr als 7.000 Mitarbeiter kompetent und voller Leidenschaft der Aufgabe, die Welt ein wenig süßer zu machen. Wir freuen uns auf Kolleginnen und Kollegen, die mit uns und unseren Marken weiter wachsen wollen.Zum 01.08.2024 suchen wir für unsere 3-jährige Ausbildung am Standort Halle (Westf.) einen Auszubildenden (m/w/d) alsFachinformatiker (m/w/d) für Daten- und ProzessanalyseIhre Aufgabenschwerpunkte Mitarbeit in (IT-) Projekten Bearbeitung von Prozessverbesserungen Analyse verschiedener Datenquellen Mitarbeit in den Fachbereichen sowie Optimierung vonGeschäftsprozessen Erstellen von Dokumentationen Herstellen und Betreuen von Systemlösungen Netzwerke einrichten und administrieren Systemkonﬁguration und -administration Fehleranalyse und Störungsbeseitigung Service/Support durchführen Ihre Qualifikationen Mindestens Fachoberschulreife Kenntnisse im Bereich der Microsoft Office Anwendungen und der üblichen PC-Hardware / Software-Komponenten Programmierkenntnisse sind von Vorteil Gute Sprachkenntnisse (Deutsch und Englisch) Hohes Interesse an Informationstechnologie Analytische und logische Denkweise sowie Abstraktionsvermögen Hohe Motivation und Leistungsbereitschaft Verantwortungsbewusstsein Selbstständigkeit &amp Teamgeist Aufgeschlossenheit im Umgang mit Menschen Was wir Ihnen bietenFür einen guten Start ins Berufsleben liegt uns eine fundierte fachliche Ausbildung genauso am Herzen, wie die bestmögliche Unterstützung unserer Auszubildenden. Darum profitieren unsere Nachwuchskräfte von überdurchschnittlichen zusätzlichen Leistungen wie beispielsweise Seminare zur persönlichen und fachlichen Weiterbildung, individuellen Prüfungsvorbereitungen und vielem mehr.Haben wir Ihr Interesse geweckt?Dann freuen wir uns auf Ihre Online-Bewerbung über www.storck.de. Verdienst während der Ausbildung nach Tarifvertrag
10;Ausbildung Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d) bei Sonepar Deutschland GmbH in Holzwickede;https://www.ausbildung.de/stellen/ausbildung-fachinformatiker-in-fuer-daten-und-prozessanalyse-m-w-d-bei-sonepar-deutschland-gmbh-in-holzwickede-fc536986-e1e8-4d3b-81b1-cdb66602304c/;Fachabitur;-;Auszubildender Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d)Zum Ausbildungsstart am 01.08.2024 suchen wir für unsere Gesellschaft Sonepar Deutschland Information Services GmbH am Standort Holzwickede einen Auszubildenden (m/w/d) alsFachinformatiker Fachrichtung Daten- und Prozessanalyse (m/w/d)Das lernst Du in der Ausbildung:• Kenntnisse und Fertigkeiten in den Bereichen der Informations- und Telekommunikationstechnischen Systeme• Analysieren von Arbeits- Geschäftsprozessen und Ergebnisdarstellung in Form von Berichten• Erstellen von Datenbanken • Prozessmodellierung und Prozessoptimierung, sowie Qualitätssicherung durchführen• Erarbeitung kundenspezifischer Anwendungslösungen, d. h. kundenspezifische Anpassungen und Softwarepflege sowie softwarebasierte Präsentationen und technisches Marketing• Projektplanung, -durchführung und -kontrolle, ebenso wie die Qualitätssicherung• Nutzung der gesamten Bandbreite der aktuellen Informations- und Kommunikationstechnik bis hin zu Multimediaanwendungen in technischen und kaufmännischen Anwendungsschwerpunkten• Kennenlernen der betriebswirtschaftlichen und arbeitsorganisatorischen Zusammenhänge • Berücksichtigung des Datenschutzes und der DatensicherheitDas bringst Du mit:• Fachhochschulreife oder Abitur mit guten Noten in den Fächern Mathematik, Deutsch, Englisch, Informatik und Wirtschaft• Begeisterung sowie Neugierde für jegliche Form der Technik und deren Funktionsweisen• Interesse an programmieren von Programmen• gute Computerkenntnisse und technisches Verständnis • Teamfähigkeit, Selbstständigkeit und Zuverlässigkeit• Spaß an logischen DenkweisenDas bieten wir Dir:• Einen modernern vielseitigen und interessanten Ausbildungsplatz in einem erfolgreichen Unternehmen• Eine attraktive Ausbildungsvergütung (Vergütung nach Tarif)• 30 Urlaubstage• Vermögenswirksame Leistungen• Betriebliche Altersvorsorge• Kostenübernahme von Schulbüchern• Kostenübernahme ÖPNV-Ticket• Verschiedene spannende „Azubi-Events“, z. B. die Azubi-Welcome Days zu Beginn der Ausbildung • Regelmäßige interne sowie externe Schulungen• Kostenübernahme der Prüfungsvorbereitung für deine Abschlussprüfung Teil II• Gute Übernahmechancen nach der Ausbildung• Bei guten Ausbildungsleistungen die Möglichkeit die Ausbildung zu verkürzenDu bist interessiert? Dann sende uns deine vollständigen Bewerbungsunterlagen (Anschreiben, tabellarischer Lebenslauf, Zeugniskopien etc.), welche uns keine andere Wahl lassen, als dich einzuladen. Nutze dazu bitte schnell und einfach unser Karriere-Portal. Verdienst während der Ausbildung nach Tarifvertrag
